stock_code,description,revenue,quantity_sold,order_frequency,return_quantity,return_rate,country
21621,VINTAGE UNION JACK BUNTING,24525.83,2887,483,558,0.1933,United Kingdom
22111,SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655,778,129,0.0277,United Kingdom
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24436.26,5967,848,51,0.0085,United Kingdom
22326,ROUND SNACK BOXES SET OF4 WOODLAND,24364.87,8535,749,40,0.0047,United Kingdom
22138,BAKING SET 9 PIECE RETROSPOT,24185.27,4937,961,68,0.0138,United Kingdom
48187,DOORMAT NEW ENGLAND,24108.39,3807,602,4,0.0011,United Kingdom
21731,RED TOADSTOOL LED NIGHT LIGHT,23919.78,14001,861,186,0.0133,United Kingdom
48185,DOORMAT FAIRY CAKE,23872.91,3615,369,731,0.2022,United Kingdom
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285,723,262,0.0255,United Kingdom
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800,505,117,0.0244,United Kingdom
22189,CREAM HEART CARD HOLDER,23435.82,8284,529,8,0.001,United Kingdom
21733,RED HANGING HEART T-LIGHT HOLDER,23199.24,7872,754,57,0.0072,United Kingdom
21929,JUMBO BAG PINK VINTAGE PAISLEY,23179.06,11006,877,222,0.0202,United Kingdom
82482,WOODEN PICTURE FRAME WHITE FINISH,23057.06,8986,1118,233,0.0259,United Kingdom
20713,JUMBO BAG OWLS,23001.06,13309,674,4165,0.3129,United Kingdom
21623,VINTAGE UNION JACK MEMOBOARD,22980.24,3269,225,4,0.0012,United Kingdom
22139,RETROSPOT TEA SET CERAMIC 11 PC,22868.26,4597,983,47,0.0102,United Kingdom
22090,PAPER BUNTING RETROSPOT,22785.06,7586,806,72,0.0095,United Kingdom
22697,GREEN REGENCY TEACUP AND SAUCER,22755.5,7280,1057,143,0.0196,United Kingdom
85066,CREAM SWEETHEART MINI CHEST,22594.2,1784,544,41,0.023,United Kingdom
22383,LUNCH BAG SUKI DESIGN,22486.34,12519,1306,148,0.0118,United Kingdom
20727,LUNCH BAG  BLACK SKULL.,22346.96,12195,1295,128,0.0105,United Kingdom
15056N,EDWARDIAN PARASOL NATURAL,22152.69,3950,463,57,0.0144,United Kingdom
48194,DOORMAT HEARTS,22114.42,3418,595,3,0.0009,United Kingdom
20712,JUMBO BAG WOODLAND ANIMALS,22092.42,9773,872,240,0.0246,United Kingdom
84029E,RED WOOLLY HOTTIE WHITE HEART.,22025.73,4747,438,118,0.0249,United Kingdom
23202,JUMBO BAG VINTAGE LEAF,21810.43,11041,886,242,0.0219,United Kingdom
20724,RED RETROSPOT CHARLOTTE BAG,21773.39,17767,1050,223,0.0126,United Kingdom
20728,LUNCH BAG CARS BLUE,21699.48,11786,1173,214,0.0182,United Kingdom
22630,DOLLY GIRL LUNCH BOX,21609.79,11780,860,275,0.0233,United Kingdom
21523,DOORMAT FANCY FONT HOME SWEET HOME,21593.74,3245,505,5,0.0015,United Kingdom
23209,LUNCH BAG VINTAGE DOILY,21418.82,13270,1110,40,0.003,United Kingdom
21843,RED RETROSPOT CAKE STAND,21354.3,2012,582,385,0.1914,United Kingdom
21212,PACK OF 72 RETROSPOT CAKE CASES,21246.45,36396,1334,380,0.0104,United Kingdom
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,21144.41,10468,816,268,0.0256,United Kingdom
21166,COOK WITH WINE METAL SIGN,20874.44,10324,735,211,0.0204,United Kingdom
23206,LUNCH BAG APPLE DESIGN,20852.58,12147,1049,59,0.0049,United Kingdom
22659,LUNCH BOX I LOVE LONDON,20781.65,11504,725,322,0.028,United Kingdom
22728,ALARM CLOCK BAKELIKE PINK,20672.15,5356,799,41,0.0077,United Kingdom
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,20650.66,6762,351,1228,0.1816,United Kingdom
21479,WHITE SKULL HOT WATER BOTTLE,20582.2,4668,504,185,0.0396,United Kingdom
84997D,CHILDRENS CUTLERY POLKADOT PINK,19728.2,5103,476,29,0.0057,United Kingdom
82494L,WOODEN FRAME ANTIQUE WHITE,19599.49,6902,931,608,0.0881,United Kingdom
22501,PICNIC BASKET WICKER LARGE,19302.26,1783,472,318,0.1784,United Kingdom
22328,ROUND SNACK BOXES SET OF 4 FRUITS,19094.97,6835,597,658,0.0963,United Kingdom
22467,GUMBALL COAT RACK,18798.67,8096,714,255,0.0315,United Kingdom
22969,HOMEMADE JAM SCENTED CANDLES,18771.15,12520,654,140,0.0112,United Kingdom
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,523,1274,0.0535,United Kingdom
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18357.75,6361,914,107,0.0168,United Kingdom
82486,WOOD S/3 CABINET ANT WHITE FINISH,18343.92,2136,626,70,0.0328,United Kingdom
20726,LUNCH BAG WOODLAND,18283.78,9910,1037,82,0.0083,United Kingdom
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.28,10241,265,3150,0.3076,United Kingdom
22382,LUNCH BAG SPACEBOY DESIGN,18031.31,10427,1170,159,0.0152,United Kingdom
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17927.45,16244,307,72,0.0044,United Kingdom
22835,HOT WATER BOTTLE I AM SO POORLY,17892.96,3441,663,394,0.1145,United Kingdom
22865,HAND WARMER OWL DESIGN,17786.13,8490,667,183,0.0216,United Kingdom
21485,RETROSPOT HEART HOT WATER BOTTLE,17663.98,3524,631,20,0.0057,United Kingdom
22698,PINK REGENCY TEACUP AND SAUCER,17445.56,5789,802,199,0.0344,United Kingdom
22384,LUNCH BAG PINK POLKADOT,17388.99,10487,1110,152,0.0145,United Kingdom
22077,6 RIBBONS RUSTIC CHARM,17186.62,9172,961,34,0.0037,United Kingdom
22385,JUMBO BAG SPACEBOY DESIGN,17071.59,8679,692,118,0.0136,United Kingdom
23240,SET OF 4 KNICK KNACK TINS DOILY,17000.17,4177,553,50,0.012,United Kingdom
82583,HOT BATHS METAL SIGN,16946.26,7514,625,322,0.0429,United Kingdom
22492,MINI PAINT SET VINTAGE,16937.82,26633,390,196,0.0074,United Kingdom
21754,HOME BUILDING BLOCK WORD,16923.47,2759,787,20,0.0072,United Kingdom
20719,WOODLAND CHARLOTTE BAG,16744.45,13292,843,112,0.0084,United Kingdom
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,1082,68,0.0054,United Kingdom
84978,HANGING HEART JAR T-LIGHT HOLDER,16453.78,12493,758,175,0.014,United Kingdom
22624,IVORY KITCHEN SCALES,16378.71,1910,724,17,0.0089,United Kingdom
84078A,SET/4 WHITE RETRO STORAGE CUBES,16363.3,415,163,35,0.0843,United Kingdom
23301,GARDENERS KNEELING PAD KEEP CALM,16327.35,8807,924,114,0.0129,United Kingdom
21232,STRAWBERRY CERAMIC TRINKET BOX,16248.8,11843,888,384,0.0324,United Kingdom
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16148.04,3599,464,14,0.0039,United Kingdom
84997B,CHILDRENS CUTLERY RETROSPOT RED,16045.97,4214,373,34,0.0081,United Kingdom
85152,HAND OVER THE CHOCOLATE   SIGN,15928.73,8248,682,80,0.0097,United Kingdom
15056BL,EDWARDIAN PARASOL BLACK,15828.84,2844,326,130,0.0457,United Kingdom
23313,VINTAGE CHRISTMAS BUNTING,15798.66,2990,403,13,0.0043,United Kingdom
22379,RECYCLING BAG RETROSPOT,15607.59,6896,753,64,0.0093,United Kingdom
82483,WOOD 2 DRAWER CABINET WHITE FINISH,15123.92,2404,586,228,0.0948,United Kingdom
22084,PAPER CHAIN KIT EMPIRE,15099.37,5258,447,247,0.047,United Kingdom
22900,SET 2 TEA TOWELS I LOVE LONDON,14938.43,4907,544,216,0.044,United Kingdom
84997C,CHILDRENS CUTLERY POLKADOT BLUE,14497.03,3783,338,747,0.1975,United Kingdom
22752,SET 7 BABUSHKA NESTING BOXES,14427.97,1787,385,124,0.0694,United Kingdom
22847,BREAD BIN DINER STYLE IVORY,14389.34,906,409,54,0.0596,United Kingdom
22866,HAND WARMER SCOTTY DOG DESIGN,14366.52,6619,558,175,0.0264,United Kingdom
48184,DOORMAT ENGLISH ROSE,14300.15,2044,414,6,0.0029,United Kingdom
22507,MEMO BOARD RETROSPOT  DESIGN,14193.35,2960,464,7,0.0024,United Kingdom
23200,JUMBO BAG PEARS,14188.96,7167,602,134,0.0187,United Kingdom
22625,RED KITCHEN SCALES,14082.2,1638,571,33,0.0201,United Kingdom
22867,HAND WARMER BIRD DESIGN,14061.89,6436,562,152,0.0236,United Kingdom
22083,PAPER CHAIN KIT RETROSPOT,14051.64,4616,615,56,0.0121,United Kingdom
21930,JUMBO STORAGE BAG SKULLS,14006.2,6438,708,3,0.0005,United Kingdom
23343,JUMBO BAG VINTAGE CHRISTMAS,13972.71,9978,488,1871,0.1875,United Kingdom
22622,BOX OF VINTAGE ALPHABET BLOCKS,13931.31,1342,272,13,0.0097,United Kingdom
20971,PINK BLUE FELT CRAFT TRINKET BOX,13828.1,10993,526,1321,0.1202,United Kingdom
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13814.01,54951,540,1200,0.0218,United Kingdom
22941,CHRISTMAS LIGHTS 10 REINDEER,13795.92,1670,331,51,0.0305,United Kingdom
AMAZONFEE,AMAZON FEE,13761.09,2,34,32,16.0,United Kingdom
23077,DOUGHNUT LIP GLOSS,13695.77,10395,347,60,0.0058,United Kingdom
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13611.81,1953,401,110,0.0563,United Kingdom
22551,PLASTERS IN TIN SPACEBOY,13602.11,8074,681,29,0.0036,United Kingdom
21524,DOORMAT SPOTTY HOME SWEET HOME,13572.06,1752,483,6,0.0034,United Kingdom
23356,LOVE HOT WATER BOTTLE,13334.32,2359,478,9,0.0038,United Kingdom
22554,PLASTERS IN TIN WOODLAND ANIMALS,13328.27,7803,709,29,0.0037,United Kingdom
22558,CLOTHES PEGS RETROSPOT PACK 24,13325.87,8676,783,42,0.0048,United Kingdom
23207,LUNCH BAG ALPHABET DESIGN,13325.55,7830,753,448,0.0572,United Kingdom
23108,SET OF 10 LED DOLLY LIGHTS,13290.52,2219,390,64,0.0288,United Kingdom
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841,410,8,0.0028,United Kingdom
22776,SWEETHEART CAKESTAND 3 TIER,13078.78,1244,576,93,0.0748,United Kingdom
82600,NO SINGING METAL SIGN,12833.18,6016,551,496,0.0824,United Kingdom
22499,WOODEN UNION JACK BUNTING,12792.25,2091,409,4,0.0019,United Kingdom
22113,GREY HEART HOT WATER BOTTLE,12763.08,3220,565,27,0.0084,United Kingdom
22427,ENAMEL FLOWER JUG CREAM,12647.26,2109,523,71,0.0337,United Kingdom
20750,RED RETROSPOT MINI CASES,12634.98,1747,389,6,0.0034,United Kingdom
20749,ASSORTED COLOUR MINI CASES,12550.57,1762,389,8,0.0045,United Kingdom
20723,STRAWBERRY CHARLOTTE BAG,12548.15,9793,734,75,0.0077,United Kingdom
22607,WOODEN ROUNDERS GARDEN SET,12531.57,1327,362,4,0.003,United Kingdom
21790,VINTAGE SNAP CARDS,12510.01,14521,929,85,0.0059,United Kingdom
22188,BLACK HEART CARD HOLDER,12483.22,4870,190,1,0.0002,United Kingdom
21755,LOVE BUILDING BLOCK WORD,12435.86,2011,631,4,0.002,United Kingdom
22568,FELTCRAFT CUSHION OWL,12413.89,3381,479,328,0.097,United Kingdom
22424,ENAMEL BREAD BIN CREAM,12358.33,873,471,28,0.0321,United Kingdom
22149,FELTCRAFT 6 FLOWER FRIENDS,12357.08,6150,560,709,0.1153,United Kingdom
23174,REGENCY SUGAR BOWL GREEN,12342.43,3055,339,88,0.0288,United Kingdom
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12226.32,24820,875,101,0.0041,United Kingdom
48188,DOORMAT WELCOME PUPPIES,12107.02,2064,290,5,0.0024,United Kingdom
47590B,PINK HAPPY BIRTHDAY BUNTING,12050.12,2323,398,83,0.0357,United Kingdom
22273,FELTCRAFT DOLL MOLLY,12001.59,4509,336,1447,0.3209,United Kingdom
22191,IVORY DINER WALL CLOCK,11911.65,1445,431,344,0.2381,United Kingdom
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,11905.95,3034,489,41,0.0135,United Kingdom
22087,PAPER BUNTING WHITE LACE,11872.58,4090,338,125,0.0306,United Kingdom
22193,RED DINER WALL CLOCK,11857.07,1400,469,24,0.0171,United Kingdom
22158,3 HEARTS HANGING DECORATION RUSTIC,11797.38,3413,312,145,0.0425,United Kingdom
23300,GARDENERS KNEELING PAD CUP OF TEA,11785.99,6809,765,152,0.0223,United Kingdom
21936,RED RETROSPOT PICNIC BAG,11665.19,3985,543,56,0.0141,United Kingdom
23581,JUMBO BAG PAISLEY PARK,11581.83,5020,342,122,0.0243,United Kingdom
22692,DOORMAT WELCOME TO OUR HOME,11539.06,1527,450,3,0.002,United Kingdom
21217,RED RETROSPOT ROUND CAKE TINS,11522.44,1088,351,9,0.0083,United Kingdom
22730,ALARM CLOCK BAKELIKE IVORY,11453.4,2885,583,50,0.0173,United Kingdom
21481,FAWN BLUE HOT WATER BOTTLE,11443.87,3308,497,88,0.0266,United Kingdom
22356,CHARLOTTE BAG PINK POLKADOT,11417.74,9718,760,266,0.0274,United Kingdom
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11382.81,2128,440,16,0.0075,United Kingdom
22041,"RECORD FRAME 7"" SINGLE SIZE",11354.56,4374,365,38,0.0087,United Kingdom
21080,SET/20 RED RETROSPOT PAPER NAPKINS,11312.56,13204,988,17,0.0013,United Kingdom
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,11300.02,975,297,28,0.0287,United Kingdom
22605,WOODEN CROQUET GARDEN SET,11276.21,782,306,8,0.0102,United Kingdom
47566B,TEA TIME PARTY BUNTING,11275.27,3679,375,4024,1.0938,United Kingdom
22570,FELTCRAFT CUSHION RABBIT,11204.97,3133,394,351,0.112,United Kingdom
23170,REGENCY TEA PLATE ROSES,11097.25,6857,457,718,0.1047,United Kingdom
22413,METAL SIGN TAKE IT OR LEAVE IT,11095.94,3774,415,18,0.0048,United Kingdom
22662,LUNCH BAG DOLLY GIRL DESIGN,11060.88,6706,690,17,0.0025,United Kingdom
20711,JUMBO BAG TOYS,11014.62,5008,532,340,0.0679,United Kingdom
85014B,RED RETROSPOT UMBRELLA,10952.2,1910,352,2,0.001,United Kingdom
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.61,1359,283,41,0.0302,United Kingdom
71459,HANGING JAM JAR T-LIGHT HOLDER,10858.89,13605,451,129,0.0095,United Kingdom
22988,SOLDIERS EGG CUP,10858.31,9087,430,273,0.03,United Kingdom
22617,BAKING SET SPACEBOY DESIGN,10745.05,2210,481,2629,1.1896,United Kingdom
22846,BREAD BIN DINER STYLE RED,10676.62,665,296,26,0.0391,United Kingdom
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,10610.04,3399,433,34,0.01,United Kingdom
21891,TRADITIONAL WOODEN SKIPPING ROPE,10504.85,8131,433,67,0.0082,United Kingdom
21791,VINTAGE HEADS AND TAILS CARD GAME,10504.4,7865,611,36,0.0046,United Kingdom
47590A,BLUE HAPPY BIRTHDAY BUNTING,10491.75,1990,393,24,0.0121,United Kingdom
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,10487.05,16401,633,69,0.0042,United Kingdom
23208,LUNCH BAG VINTAGE LEAF DESIGN,10441.91,6308,672,73,0.0116,United Kingdom
22992,REVOLVER WOODEN RULER,10373.99,5233,356,716,0.1368,United Kingdom
22169,FAMILY ALBUM WHITE PICTURE FRAME,10345.76,1197,389,32,0.0267,United Kingdom
21914,BLUE HARMONICA IN BOX,10339.81,7876,605,36,0.0046,United Kingdom
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,10229.77,8652,357,32,0.0037,United Kingdom
23582,VINTAGE DOILY JUMBO BAG RED,10206.41,4802,262,121,0.0252,United Kingdom
22970,LONDON BUS COFFEE MUG,10140.6,4334,320,16,0.0037,United Kingdom
21218,RED SPOTTY BISCUIT TIN,10116.49,2433,405,49,0.0201,United Kingdom
22569,FELTCRAFT CUSHION BUTTERFLY,10110.83,2759,352,278,0.1008,United Kingdom
22556,PLASTERS IN TIN CIRCUS PARADE,10061.86,6113,581,66,0.0108,United Kingdom
22621,TRADITIONAL KNITTING NANCY,10053.65,6148,613,51,0.0083,United Kingdom
23171,REGENCY TEA PLATE GREEN,10051.99,6247,386,97,0.0155,United Kingdom
22633,HAND WARMER UNION JACK,10023.72,4851,487,79,0.0163,United Kingdom
20679,EDWARDIAN PARASOL RED,10021.42,1710,329,9,0.0053,United Kingdom
48173C,DOORMAT BLACK FLOCK,10000.66,1799,192,59,0.0328,United Kingdom
22690,DOORMAT HOME SWEET HOME BLUE,9943.7,1621,290,6,0.0037,United Kingdom
23076,ICE CREAM SUNDAE LIP GLOSS,9935.76,8076,279,28,0.0035,United Kingdom
84997A,CHILDRENS CUTLERY POLKADOT GREEN,9933.88,2573,263,13,0.0051,United Kingdom
22619,SET OF 6 SOLDIER SKITTLES,9895.04,2563,448,4,0.0016,United Kingdom
22654,DELUXE SEWING KIT,9893.0,1411,342,33,0.0234,United Kingdom
22791,T-LIGHT GLASS FLUTED ANTIQUE,9873.88,7955,356,247,0.031,United Kingdom
22555,PLASTERS IN TIN STRONGMAN,9841.83,6010,519,21,0.0035,United Kingdom
21314,SMALL GLASS HEART TRINKET POT,9798.98,4246,581,139,0.0327,United Kingdom
22838,3 TIER CAKE TIN RED AND CREAM,9765.11,694,184,138,0.1988,United Kingdom
22766,PHOTO FRAME CORNICE,9755.09,3267,520,53,0.0162,United Kingdom
22561,WOODEN SCHOOL COLOURING SET,9741.57,5883,436,276,0.0469,United Kingdom
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,9735.38,3935,585,14,0.0036,United Kingdom
22144,CHRISTMAS CRAFT LITTLE FRIENDS,9662.28,4073,547,44,0.0108,United Kingdom
22844,VINTAGE CREAM DOG FOOD CONTAINER,9661.32,1003,424,28,0.0279,United Kingdom
23175,REGENCY MILK JUG PINK,9587.15,3162,342,124,0.0392,United Kingdom
22560,TRADITIONAL MODELLING CLAY,9572.32,8144,390,1,0.0001,United Kingdom
22978,PANTRY ROLLING PIN,9564.98,2464,250,75,0.0304,United Kingdom
22456,NATURAL SLATE CHALKBOARD LARGE,9534.67,1727,508,68,0.0394,United Kingdom
35970,ZINC FOLKART SLEIGH BELLS,9512.73,5050,463,290,0.0574,United Kingdom
22952,60 CAKE CASES VINTAGE CHRISTMAS,9512.07,16056,623,312,0.0194,United Kingdom
21174,POTTERING IN THE SHED METAL SIGN,9405.76,4309,541,138,0.032,United Kingdom
85150,LADIES & GENTLEMEN METAL SIGN,9383.43,4155,483,5,0.0012,United Kingdom
84375,SET OF 20 KIDS COOKIE CUTTERS,9383.15,4312,520,13,0.003,United Kingdom
21155,RED RETROSPOT PEG BAG,9296.3,3155,498,238,0.0754,United Kingdom
23319,BOX OF 6 MINI 50'S CRACKERS,9219.53,3720,409,116,0.0312,United Kingdom
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9216.16,2362,449,0,0.0,United Kingdom
22966,GINGERBREAD MAN COOKIE CUTTER,9202.15,7440,674,69,0.0093,United Kingdom
84991,60 TEATIME FAIRY CAKE CASES,9169.97,18189,836,174,0.0096,United Kingdom
23318,BOX OF 6 MINI VINTAGE CRACKERS,9162.41,3809,383,168,0.0441,United Kingdom
20972,PINK CREAM FELT CRAFT TRINKET BOX,9128.06,7337,618,24,0.0033,United Kingdom
23080,RED METAL BOX TOP SECRET,9117.62,1074,264,11,0.0102,United Kingdom
48116,DOORMAT MULTICOLOUR STRIPE,9080.68,1499,205,38,0.0254,United Kingdom
22729,ALARM CLOCK BAKELIKE ORANGE,9068.95,2330,463,31,0.0133,United Kingdom
22759,SET OF 3 NOTEBOOKS IN PARCEL,9027.44,5548,427,351,0.0633,United Kingdom
22989,SET 2 PANTRY DESIGN TEA TOWELS,8999.27,2811,376,24,0.0085,United Kingdom
22632,HAND WARMER RED RETROSPOT,8982.83,4473,402,113,0.0253,United Kingdom
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,8930.44,6539,445,30,0.0046,United Kingdom
23322,LARGE WHITE HEART OF WICKER,8878.21,3069,573,103,0.0336,United Kingdom
82582,AREA PATROLLED METAL SIGN,8858.79,4365,442,149,0.0341,United Kingdom
23439,HAND WARMER RED LOVE HEART,8855.51,3986,397,0,0.0,United Kingdom
21889,WOODEN BOX OF DOMINOES,8847.29,6391,590,26,0.0041,United Kingdom
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8744.43,10545,366,103,0.0098,United Kingdom
22947,WOODEN ADVENT CALENDAR RED,8714.24,751,142,6,0.008,United Kingdom
23256,CHILDRENS CUTLERY SPACEBOY,8667.07,2113,376,88,0.0416,United Kingdom
22147,FELTCRAFT BUTTERFLY HEARTS,8621.14,6226,490,957,0.1537,United Kingdom
22652,TRAVEL SEWING KIT,8612.07,5092,473,126,0.0247,United Kingdom
23534,WALL ART STOP FOR TEA,8608.9,1387,261,7,0.005,United Kingdom
22795,SWEETHEART RECIPE BOOK STAND,8571.25,1211,372,20,0.0165,United Kingdom
23082,SET 6 PAPER TABLE LANTERN HEARTS,8558.76,2328,303,28,0.012,United Kingdom
23078,ICE CREAM PEN LIP GLOSS,8553.34,6831,259,48,0.007,United Kingdom
21035,SET/2 RED RETROSPOT TEA TOWELS,8536.85,2599,396,200,0.077,United Kingdom
84378,SET OF 3 HEART COOKIE CUTTERS,8518.4,6332,689,72,0.0114,United Kingdom
23493,VINTAGE DOILY TRAVEL SEWING KIT,8497.98,3964,418,6,0.0015,United Kingdom
21484,CHICK GREY HOT WATER BOTTLE,8495.42,2091,405,48,0.023,United Kingdom
23535,WALL ART BICYCLE SAFETY,8440.24,1324,216,1,0.0008,United Kingdom
23321,SMALL WHITE HEART OF WICKER,8438.54,4716,633,39,0.0083,United Kingdom
71053,WHITE METAL LANTERN,8419.32,1944,342,39,0.0201,United Kingdom
21213,PACK OF 72 SKULL CAKE CASES,8414.59,15169,664,48,0.0032,United Kingdom
21210,SET OF 72 RETROSPOT PAPER  DOILIES,8368.39,5808,459,310,0.0534,United Kingdom
22768,FAMILY PHOTO FRAME CORNICE,8258.59,867,285,36,0.0415,United Kingdom
72741,GRAND CHOCOLATECANDLE,8196.0,5958,300,25,0.0042,United Kingdom
22192,BLUE DINER WALL CLOCK,8189.29,954,373,30,0.0314,United Kingdom
22725,ALARM CLOCK BAKELIKE CHOCOLATE,8153.6,1980,441,48,0.0242,United Kingdom
