review_id,star_rating,sentiment_label,sentiment_score,quality_aspect,shipping_aspect,value_aspect,service_aspect,emotion,is_fake_review,fake_confidence_score,is_sarcastic,subjectivity_score,polarity_score
R00000024,3,neutral,0.075,neutral,neutral,neutral,negative,neutral,0,0.194,0,0.937,0.0
R00000025,4,positive,0.475,positive,neutral,neutral,neutral,mild_joy,0,0.399,0,0.572,0.416
R00000026,5,positive,0.873,positive,positive,positive,positive,satisfaction,0,0.197,0,0.775,0.716
R00000027,1,negative,-1.0,neutral,neutral,negative,negative,frustration,0,0.085,0,0.902,-0.952
R00000028,4,positive,0.406,positive,positive,neutral,positive,satisfaction,0,0.476,0,0.154,0.387
R00000029,5,positive,0.928,positive,positive,neutral,positive,delight,0,0.289,0,0.875,0.751
R00000030,1,negative,-1.0,negative,neutral,negative,negative,frustration,0,0.251,0,0.629,-0.751
R00000031,1,negative,-1.0,negative,negative,negative,neutral,frustration,0,0.105,0,0.327,-0.771
R00000032,4,positive,0.501,positive,neutral,neutral,positive,satisfaction,1,0.906,0,0.523,0.342
R00000033,1,negative,-1.0,negative,negative,negative,negative,frustration,0,0.721,0,0.666,-0.843
R00000034,4,positive,0.494,positive,neutral,negative,positive,satisfaction,0,0.32,0,0.612,0.459
R00000035,5,positive,1.0,positive,positive,positive,neutral,satisfaction,0,0.416,0,0.694,0.739
R00000036,4,positive,0.607,neutral,neutral,positive,positive,satisfaction,0,0.128,0,0.695,0.469
R00000037,4,positive,0.612,neutral,positive,positive,negative,satisfaction,0,0.708,0,0.711,0.416
R00000038,1,negative,-1.0,negative,negative,negative,negative,anger,0,0.039,0,0.374,-0.731
R00000039,3,neutral,-0.001,neutral,negative,neutral,neutral,neutral,0,0.328,0,0.69,0.09
R00000040,4,positive,0.525,positive,positive,neutral,positive,neutral,0,0.029,0,0.388,0.45
R00000041,4,positive,0.606,positive,positive,neutral,neutral,mild_joy,0,0.094,0,0.289,0.352
R00000042,5,positive,0.99,positive,positive,positive,positive,satisfaction,0,0.111,0,0.692,0.756
R00000043,3,neutral,-0.064,neutral,neutral,negative,negative,neutral,0,0.348,0,0.454,-0.009
R00000044,1,negative,-0.95,negative,negative,negative,negative,disgust,0,0.183,0,0.707,-0.782
R00000045,4,positive,0.684,neutral,positive,neutral,neutral,satisfaction,0,0.123,0,0.599,0.459
R00000046,4,positive,0.378,neutral,positive,neutral,positive,satisfaction,0,0.226,0,0.244,0.371
R00000047,4,positive,0.522,positive,neutral,neutral,positive,mild_joy,0,0.213,0,0.54,0.326
R00000048,4,positive,0.471,positive,positive,positive,positive,satisfaction,0,0.323,0,0.505,0.338
R00000049,4,positive,0.264,neutral,positive,neutral,positive,neutral,0,0.277,0,0.66,0.292
R00000050,3,neutral,-0.045,negative,negative,negative,neutral,neutral,0,0.482,0,0.197,0.02
R00000051,2,negative,-0.546,neutral,neutral,negative,negative,disappointment,0,0.302,0,0.452,-0.369
R00000052,5,positive,0.912,positive,positive,positive,positive,satisfaction,0,0.149,0,0.899,0.757
R00000053,5,positive,0.976,positive,positive,neutral,positive,delight,0,0.209,0,0.353,0.856
R00000054,4,positive,0.505,positive,positive,neutral,positive,neutral,0,0.372,0,0.703,0.329
R00000055,2,negative,-0.627,neutral,neutral,negative,negative,disappointment,0,0.238,0,0.714,-0.592
R00000056,1,negative,-0.965,negative,negative,negative,negative,frustration,1,0.801,0,0.529,-0.755
R00000057,3,neutral,-0.222,neutral,neutral,neutral,neutral,neutral,0,0.35,0,0.875,-0.011
R00000058,4,positive,0.597,positive,neutral,neutral,neutral,satisfaction,0,0.226,0,0.572,0.225
R00000059,5,positive,1.0,positive,positive,positive,positive,delight,0,0.209,0,0.81,0.883
R00000060,4,positive,0.631,neutral,positive,positive,neutral,satisfaction,0,0.061,0,0.507,0.46
R00000061,3,neutral,-0.051,neutral,neutral,neutral,neutral,mild_disappointment,0,0.042,0,0.612,-0.093
R00000062,2,negative,-0.455,negative,negative,negative,negative,disappointment,0,0.34,0,0.657,-0.481
R00000063,5,positive,0.91,positive,neutral,positive,positive,joy,0,0.52,0,0.353,0.797
R00000064,3,neutral,-0.134,neutral,positive,neutral,neutral,neutral,0,0.199,0,0.944,-0.005
R00000065,1,negative,-1.0,neutral,neutral,negative,negative,frustration,0,0.481,0,0.28,-0.796
R00000066,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.123,0,0.681,0.764
R00000067,3,neutral,0.071,neutral,neutral,neutral,negative,mild_disappointment,0,0.06,0,0.364,0.089
R00000068,1,negative,-1.0,negative,neutral,negative,negative,anger,0,0.152,0,0.69,-0.896
R00000069,4,positive,0.505,neutral,positive,neutral,negative,satisfaction,0,0.327,0,0.914,0.452
R00000070,4,positive,0.262,neutral,neutral,neutral,positive,satisfaction,0,0.139,0,0.645,0.417
R00000071,5,positive,0.998,neutral,positive,positive,neutral,joy,0,0.325,0,0.349,0.684
R00000072,5,positive,0.983,positive,positive,positive,positive,satisfaction,0,0.289,0,0.267,0.911
R00000073,3,neutral,-0.131,neutral,neutral,neutral,neutral,mild_disappointment,0,0.282,0,0.336,-0.092
R00000074,5,positive,0.919,positive,positive,positive,positive,delight,0,0.243,0,0.598,0.746
R00000075,4,positive,0.513,positive,positive,positive,positive,satisfaction,0,0.028,0,0.644,0.352
R00000076,4,positive,0.586,positive,positive,negative,neutral,mild_joy,0,0.32,0,0.703,0.423
R00000077,2,negative,-0.265,neutral,neutral,negative,neutral,disappointment,0,0.029,0,0.868,-0.333
R00000078,3,neutral,-0.081,negative,neutral,neutral,negative,mild_disappointment,0,0.062,0,0.935,-0.04
R00000079,5,positive,1.0,positive,positive,positive,positive,joy,0,0.257,0,0.743,0.795
R00000080,3,neutral,-0.125,neutral,neutral,positive,neutral,neutral,0,0.112,0,0.807,-0.006
R00000081,2,negative,-0.431,negative,neutral,negative,negative,frustration,0,0.251,0,0.544,-0.418
R00000082,3,neutral,0.222,neutral,neutral,neutral,negative,neutral,0,0.221,0,0.622,0.025
R00000083,2,negative,-0.371,neutral,neutral,negative,neutral,frustration,0,0.302,0,0.529,-0.354
R00000084,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.072,0,0.759,0.789
R00000085,3,neutral,0.048,positive,neutral,neutral,negative,neutral,0,0.234,0,0.663,0.014
R00000086,4,positive,0.546,positive,neutral,positive,positive,satisfaction,0,0.086,0,0.106,0.502
R00000087,3,neutral,-0.241,neutral,neutral,negative,negative,mild_disappointment,0,0.23,0,0.619,-0.008
R00000088,5,positive,1.0,positive,positive,neutral,neutral,delight,0,0.137,0,0.741,0.971
R00000089,5,positive,0.842,positive,positive,positive,positive,satisfaction,0,0.079,0,0.807,0.836
R00000090,4,positive,0.524,positive,neutral,neutral,positive,mild_joy,0,0.326,0,0.342,0.434
R00000091,4,positive,0.415,positive,positive,neutral,positive,satisfaction,0,0.568,0,0.769,0.505
R00000092,4,positive,0.524,neutral,positive,neutral,positive,neutral,0,0.257,0,0.822,0.312
R00000093,1,negative,-1.0,negative,negative,negative,negative,frustration,0,0.096,0,0.631,-0.59
R00000094,3,neutral,0.065,neutral,neutral,neutral,neutral,neutral,0,0.047,0,0.361,-0.02
R00000095,5,positive,1.0,neutral,positive,neutral,neutral,satisfaction,0,0.27,0,0.421,0.739
R00000096,4,positive,0.291,positive,positive,neutral,neutral,satisfaction,0,0.621,0,0.552,0.34
R00000097,3,neutral,-0.061,neutral,neutral,positive,neutral,mild_disappointment,0,0.163,0,0.699,-0.102
R00000098,5,positive,1.0,neutral,positive,positive,positive,delight,0,0.164,0,0.845,0.906
R00000099,3,neutral,0.116,neutral,neutral,negative,negative,mild_disappointment,0,0.721,0,0.578,0.052
R00000100,2,negative,-0.5,neutral,negative,negative,negative,frustration,0,0.28,0,0.513,-0.394
R00000101,5,positive,0.989,positive,positive,positive,positive,satisfaction,0,0.366,0,0.332,0.705
R00000102,4,positive,0.579,positive,neutral,neutral,positive,mild_joy,0,0.356,0,0.865,0.442
R00000103,3,neutral,-0.013,neutral,neutral,neutral,positive,neutral,0,0.192,0,0.879,-0.07
R00000104,3,neutral,0.086,neutral,neutral,neutral,neutral,neutral,0,0.126,0,0.704,-0.025
R00000105,1,negative,-0.918,negative,negative,negative,negative,disgust,0,0.156,0,0.628,-0.829
R00000106,5,positive,1.0,positive,positive,positive,neutral,joy,1,0.522,0,0.319,0.743
R00000107,3,neutral,0.017,neutral,neutral,neutral,positive,neutral,0,0.447,1,0.556,-0.033
R00000108,4,positive,0.541,neutral,positive,positive,neutral,neutral,0,0.012,0,0.614,0.278
R00000109,4,positive,0.433,positive,positive,neutral,positive,neutral,0,0.26,0,0.954,0.395
R00000110,4,positive,0.517,positive,neutral,neutral,positive,satisfaction,0,0.306,0,0.558,0.413
R00000111,4,positive,0.579,positive,neutral,neutral,neutral,neutral,0,0.278,0,0.886,0.436
R00000112,3,neutral,-0.081,neutral,neutral,negative,negative,neutral,0,0.052,0,0.194,0.036
R00000113,3,neutral,-0.097,neutral,negative,neutral,neutral,mild_disappointment,0,0.196,0,0.601,-0.102
R00000114,5,positive,0.804,positive,neutral,positive,positive,satisfaction,0,0.29,0,0.59,0.829
R00000115,4,positive,0.355,neutral,positive,positive,neutral,mild_joy,0,0.13,0,0.753,0.439
R00000116,4,positive,0.625,positive,negative,neutral,negative,satisfaction,0,0.249,0,0.39,0.475
R00000117,1,negative,-0.909,negative,negative,negative,negative,disgust,1,0.905,0,0.873,-0.692
R00000118,4,positive,0.591,neutral,positive,neutral,neutral,satisfaction,0,0.21,0,0.832,0.278
R00000119,3,neutral,0.012,neutral,neutral,positive,neutral,neutral,0,0.544,0,0.91,0.017
R00000120,5,positive,0.947,positive,positive,positive,positive,satisfaction,0,0.082,0,0.465,0.981
R00000121,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.134,0,0.505,0.84
R00000122,5,positive,1.0,positive,neutral,positive,positive,satisfaction,0,0.21,0,0.594,0.802
R00000123,4,positive,0.335,positive,neutral,positive,neutral,neutral,0,0.265,0,0.765,0.403
R00000124,4,positive,0.488,positive,neutral,neutral,neutral,neutral,0,0.452,0,0.868,0.529
R00000125,4,positive,0.469,neutral,positive,neutral,positive,satisfaction,0,0.33,0,0.508,0.252
R00000126,5,positive,0.841,positive,positive,neutral,positive,satisfaction,0,0.313,0,0.908,0.972
R00000127,4,positive,0.385,neutral,neutral,positive,positive,satisfaction,0,0.254,0,0.653,0.481
R00000128,3,neutral,0.118,neutral,neutral,negative,negative,mild_disappointment,0,0.691,0,0.839,-0.007
R00000129,2,negative,-0.576,negative,neutral,neutral,neutral,disappointment,0,0.062,0,0.763,-0.381
R00000130,3,neutral,0.087,neutral,neutral,neutral,neutral,neutral,0,0.344,0,0.582,0.037
R00000131,3,neutral,-0.016,positive,neutral,neutral,neutral,mild_disappointment,0,0.136,0,0.823,0.049
R00000132,2,negative,-0.436,neutral,neutral,neutral,negative,frustration,0,0.453,0,0.768,-0.298
R00000133,5,positive,0.974,positive,positive,neutral,neutral,satisfaction,0,0.326,0,0.827,0.788
R00000134,5,positive,0.881,positive,positive,positive,positive,joy,0,0.215,0,0.904,0.732
R00000135,2,negative,-0.529,negative,neutral,negative,negative,frustration,0,0.359,0,0.137,-0.312
R00000136,4,positive,0.542,positive,neutral,neutral,neutral,neutral,0,0.315,0,0.298,0.454
R00000137,3,neutral,-0.121,neutral,positive,neutral,positive,neutral,0,0.594,0,0.722,0.032
R00000138,3,neutral,0.064,neutral,neutral,negative,neutral,neutral,0,0.414,0,0.439,0.012
R00000139,5,positive,1.0,positive,positive,positive,positive,joy,0,0.168,0,0.168,0.753
R00000140,4,positive,0.578,neutral,positive,neutral,positive,satisfaction,0,0.444,0,0.661,0.45
R00000141,5,positive,0.974,positive,positive,neutral,neutral,joy,1,0.848,0,0.507,0.563
R00000142,5,positive,0.963,positive,positive,positive,neutral,joy,1,0.59,0,0.679,0.892
R00000143,5,positive,1.0,positive,neutral,positive,positive,joy,0,0.246,0,0.87,0.731
R00000144,3,neutral,0.064,neutral,neutral,positive,neutral,mild_disappointment,0,0.52,0,0.853,-0.039
R00000145,3,neutral,-0.101,neutral,neutral,neutral,positive,neutral,0,0.252,0,0.609,-0.005
R00000146,5,positive,0.914,positive,positive,positive,positive,delight,0,0.115,0,0.732,0.804
R00000147,3,neutral,0.026,neutral,neutral,neutral,negative,mild_disappointment,0,0.083,0,0.502,0.06
R00000148,2,negative,-0.525,negative,negative,neutral,neutral,frustration,0,0.3,1,0.333,-0.437
R00000149,2,negative,-0.556,neutral,neutral,negative,neutral,frustration,0,0.359,1,0.776,-0.419
R00000150,5,positive,1.0,positive,positive,neutral,positive,joy,0,0.353,0,0.586,0.877
R00000151,4,positive,0.598,neutral,neutral,positive,neutral,mild_joy,0,0.343,0,0.654,0.443
R00000152,3,neutral,0.091,neutral,negative,negative,positive,mild_disappointment,0,0.364,0,0.545,0.124
R00000153,5,positive,0.985,positive,neutral,positive,positive,joy,0,0.236,0,0.515,0.79
R00000154,5,positive,1.0,positive,positive,positive,neutral,delight,0,0.389,0,0.495,0.754
R00000155,1,negative,-1.0,negative,negative,negative,negative,frustration,0,0.309,0,0.174,-0.674
R00000156,1,negative,-1.0,negative,negative,negative,negative,anger,0,0.241,0,0.758,-0.849
R00000157,4,positive,0.514,positive,neutral,neutral,positive,satisfaction,0,0.053,0,0.535,0.43
R00000158,5,positive,1.0,positive,positive,positive,positive,joy,0,0.204,0,0.438,0.823
R00000159,5,positive,0.997,positive,positive,positive,positive,satisfaction,0,0.235,0,0.905,0.762
R00000160,3,neutral,0.049,neutral,neutral,negative,neutral,neutral,0,0.334,0,0.885,-0.022
R00000161,5,positive,1.0,positive,positive,neutral,positive,joy,0,0.215,0,0.861,0.861
R00000162,1,negative,-0.95,neutral,negative,negative,negative,anger,0,0.402,0,0.7,-0.719
R00000163,4,positive,0.335,neutral,positive,neutral,positive,neutral,0,0.187,0,0.655,0.298
R00000164,4,positive,0.471,positive,neutral,negative,positive,mild_joy,0,0.144,0,0.362,0.335
R00000165,4,positive,0.616,neutral,positive,neutral,positive,neutral,0,0.284,0,0.595,0.408
R00000166,3,neutral,0.153,neutral,positive,neutral,negative,mild_disappointment,0,0.285,0,0.88,-0.049
R00000167,5,positive,0.852,positive,positive,positive,positive,satisfaction,0,0.436,0,0.784,0.71
R00000168,4,positive,0.39,positive,positive,positive,neutral,mild_joy,0,0.4,0,0.665,0.452
R00000169,3,neutral,-0.018,neutral,neutral,neutral,neutral,neutral,0,0.249,1,0.885,-0.032
R00000170,4,positive,0.601,neutral,positive,neutral,positive,neutral,0,0.155,0,0.745,0.468
R00000171,1,negative,-1.0,negative,neutral,negative,negative,frustration,0,0.095,0,0.951,-0.837
R00000172,1,negative,-0.91,negative,neutral,negative,neutral,disgust,0,0.062,0,0.477,-0.882
R00000173,5,positive,1.0,positive,positive,positive,positive,delight,1,0.844,0,1.0,0.765
R00000174,5,positive,1.0,positive,positive,positive,positive,delight,1,0.663,0,0.615,0.85
R00000175,3,neutral,-0.042,neutral,neutral,neutral,neutral,neutral,0,0.25,0,0.608,0.012
R00000176,4,positive,0.403,neutral,neutral,neutral,neutral,satisfaction,0,0.483,0,0.465,0.497
R00000177,4,positive,0.482,neutral,negative,neutral,positive,neutral,0,0.109,0,0.393,0.362
R00000178,1,negative,-0.976,negative,negative,negative,negative,frustration,0,0.278,0,0.272,-0.851
R00000179,5,positive,1.0,positive,positive,positive,positive,joy,1,0.559,0,1.0,0.799
R00000180,3,neutral,0.089,negative,neutral,neutral,neutral,mild_disappointment,0,0.225,0,0.754,-0.084
R00000181,3,neutral,0.01,neutral,neutral,neutral,neutral,neutral,0,0.253,0,0.63,0.051
R00000182,5,positive,0.876,positive,positive,positive,positive,joy,0,0.241,0,0.266,0.801
R00000183,4,positive,0.388,neutral,neutral,positive,neutral,neutral,0,0.125,0,0.665,0.547
R00000184,4,positive,0.409,positive,positive,positive,positive,satisfaction,0,0.414,0,0.637,0.517
R00000185,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.288,0,0.704,0.769
R00000186,3,neutral,0.1,neutral,neutral,neutral,negative,neutral,0,0.32,0,0.922,0.028
R00000187,4,positive,0.556,positive,positive,neutral,positive,satisfaction,0,0.47,0,0.702,0.492
R00000188,4,positive,0.43,neutral,positive,neutral,neutral,neutral,0,0.167,0,0.139,0.434
R00000189,5,positive,1.0,positive,positive,positive,positive,joy,0,0.039,0,0.646,0.81
R00000190,5,positive,1.0,positive,positive,positive,positive,satisfaction,1,0.42,0,0.685,0.702
R00000191,3,neutral,0.06,neutral,positive,negative,positive,mild_disappointment,0,0.229,0,0.653,0.057
R00000192,3,neutral,-0.011,neutral,neutral,neutral,neutral,neutral,0,0.363,0,0.862,-0.054
R00000193,1,negative,-0.989,negative,neutral,negative,negative,frustration,0,0.198,0,0.353,-0.667
R00000194,3,neutral,0.06,neutral,neutral,neutral,neutral,neutral,0,0.411,0,0.815,-0.16
R00000195,5,positive,0.935,positive,positive,neutral,positive,satisfaction,0,0.185,0,0.591,0.821
R00000196,1,negative,-0.965,negative,negative,negative,positive,frustration,0,0.048,0,0.843,-0.74
R00000197,5,positive,0.928,positive,positive,positive,positive,satisfaction,0,0.249,0,0.701,0.714
R00000198,3,neutral,-0.036,positive,neutral,negative,neutral,mild_disappointment,0,0.771,0,0.612,-0.029
R00000199,5,positive,0.981,positive,positive,positive,positive,joy,0,0.292,1,0.459,0.782
R00000200,4,positive,0.409,neutral,positive,positive,positive,satisfaction,0,0.178,0,0.535,0.304
R00000201,4,positive,0.455,neutral,neutral,neutral,neutral,satisfaction,0,0.332,0,0.208,0.295
R00000202,5,positive,0.925,positive,neutral,positive,positive,joy,0,0.198,0,0.582,0.756
R00000203,4,positive,0.687,positive,positive,neutral,positive,satisfaction,0,0.082,0,0.536,0.446
R00000204,3,neutral,-0.048,neutral,neutral,neutral,positive,neutral,0,0.16,0,0.365,-0.087
R00000205,3,neutral,-0.071,neutral,neutral,negative,positive,neutral,0,0.093,0,0.52,0.096
R00000206,3,neutral,-0.144,neutral,neutral,positive,neutral,neutral,0,0.121,0,0.729,-0.003
R00000207,2,negative,-0.55,neutral,neutral,negative,neutral,disappointment,0,0.21,0,0.436,-0.335
R00000208,5,positive,1.0,positive,positive,positive,positive,joy,0,0.178,0,0.556,0.745
R00000209,3,neutral,-0.088,neutral,neutral,negative,neutral,neutral,0,0.207,0,0.858,-0.018
R00000210,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.192,0,0.339,0.774
R00000211,5,positive,0.936,positive,positive,positive,positive,joy,0,0.3,0,0.445,0.623
R00000212,4,positive,0.491,neutral,neutral,neutral,positive,satisfaction,0,0.086,0,0.725,0.422
R00000213,2,negative,-0.51,neutral,neutral,negative,negative,disappointment,0,0.208,0,0.895,-0.329
R00000214,2,negative,-0.539,neutral,neutral,negative,negative,frustration,0,0.096,0,0.44,-0.355
R00000215,3,neutral,-0.019,neutral,neutral,neutral,negative,mild_disappointment,0,0.273,0,0.476,-0.117
R00000216,4,positive,0.541,neutral,neutral,positive,positive,satisfaction,0,0.153,0,0.291,0.391
R00000217,3,neutral,-0.146,neutral,neutral,negative,neutral,neutral,0,0.321,0,0.744,0.091
R00000218,5,positive,1.0,positive,positive,neutral,positive,satisfaction,0,0.446,0,0.526,0.894
R00000219,2,negative,-0.424,neutral,neutral,neutral,negative,frustration,0,0.165,0,0.198,-0.398
R00000220,3,neutral,0.053,neutral,neutral,neutral,negative,neutral,1,0.961,1,0.75,-0.001
R00000221,4,positive,0.424,positive,neutral,neutral,positive,satisfaction,0,0.191,0,0.819,0.343
R00000222,2,negative,-0.484,neutral,negative,negative,neutral,disappointment,0,0.024,0,0.524,-0.423
R00000223,3,neutral,0.151,neutral,neutral,neutral,neutral,mild_disappointment,0,0.117,0,0.482,0.045
R00000224,5,positive,1.0,positive,positive,neutral,positive,satisfaction,1,0.887,0,0.97,0.685
R00000225,2,negative,-0.477,neutral,negative,negative,neutral,disappointment,0,0.069,0,0.653,-0.316
R00000226,5,positive,1.0,positive,positive,positive,positive,joy,0,0.122,0,0.719,0.764
R00000227,2,negative,-0.477,neutral,neutral,negative,positive,frustration,0,0.351,0,0.519,-0.461
R00000228,5,positive,0.901,positive,positive,positive,positive,delight,0,0.524,0,0.771,0.705
R00000229,3,neutral,-0.265,neutral,neutral,neutral,positive,neutral,0,0.115,0,0.504,0.054
R00000230,1,negative,-0.952,negative,negative,negative,negative,disgust,0,0.19,0,0.627,-0.756
R00000231,5,positive,0.937,neutral,positive,neutral,positive,delight,0,0.145,0,0.343,0.832
R00000232,5,positive,0.904,neutral,positive,neutral,positive,joy,0,0.202,0,0.698,0.763
R00000233,4,positive,0.643,positive,neutral,positive,positive,satisfaction,0,0.431,0,0.826,0.475
R00000234,2,negative,-0.442,negative,neutral,negative,negative,disappointment,0,0.132,0,0.76,-0.281
R00000235,4,positive,0.499,neutral,neutral,neutral,neutral,satisfaction,0,0.047,0,0.426,0.453
R00000236,4,positive,0.421,positive,positive,neutral,positive,satisfaction,0,0.288,0,0.55,0.291
R00000237,5,positive,0.955,positive,positive,positive,positive,satisfaction,0,0.432,0,0.493,0.826
R00000238,1,negative,-1.0,negative,neutral,negative,neutral,anger,0,0.113,0,0.39,-0.784
R00000239,4,positive,0.717,neutral,neutral,neutral,positive,satisfaction,0,0.596,0,0.384,0.367
R00000240,5,positive,0.976,positive,positive,positive,positive,satisfaction,0,0.211,0,0.753,0.666
R00000241,4,positive,0.649,positive,positive,neutral,positive,mild_joy,0,0.397,0,0.705,0.281
R00000242,4,positive,0.516,neutral,neutral,positive,positive,neutral,0,0.214,0,0.531,0.42
R00000243,4,positive,0.369,positive,positive,positive,positive,satisfaction,0,0.075,0,0.255,0.484
R00000244,3,neutral,0.021,neutral,neutral,negative,negative,neutral,0,0.535,0,0.173,0.112
R00000245,1,negative,-1.0,negative,negative,negative,negative,frustration,0,0.163,0,0.52,-0.732
R00000246,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.335,0,0.36,0.864
R00000247,5,positive,0.983,positive,positive,positive,positive,satisfaction,0,0.237,0,0.415,0.881
R00000248,4,positive,0.514,neutral,positive,neutral,positive,satisfaction,0,0.056,0,0.639,0.303
R00000249,5,positive,0.888,positive,positive,positive,positive,joy,1,0.912,0,0.398,0.726
R00000250,4,positive,0.301,positive,positive,positive,neutral,satisfaction,0,0.359,0,0.319,0.448
R00000251,4,positive,0.511,neutral,positive,neutral,negative,satisfaction,0,0.185,0,0.629,0.437
R00000252,1,negative,-0.865,negative,negative,negative,negative,anger,0,0.157,0,0.687,-0.86
R00000253,2,negative,-0.535,negative,negative,neutral,negative,disappointment,0,0.169,1,0.361,-0.382
R00000254,4,positive,0.63,positive,positive,positive,positive,mild_joy,0,0.195,0,0.867,0.355
R00000255,2,negative,-0.442,neutral,negative,negative,neutral,frustration,0,0.369,0,0.296,-0.371
R00000256,4,positive,0.305,positive,neutral,positive,positive,satisfaction,0,0.076,0,0.899,0.314
R00000257,5,positive,1.0,neutral,positive,positive,positive,joy,1,0.775,0,0.686,0.821
R00000258,3,neutral,0.095,neutral,neutral,neutral,neutral,neutral,0,0.215,0,0.643,-0.073
R00000259,1,negative,-1.0,negative,negative,negative,negative,disgust,0,0.584,0,0.665,-0.69
R00000260,5,positive,1.0,positive,positive,neutral,neutral,delight,0,0.359,0,0.826,0.931
R00000261,5,positive,1.0,positive,positive,neutral,positive,satisfaction,0,0.059,0,0.877,0.787
R00000262,3,neutral,0.038,neutral,neutral,neutral,neutral,neutral,0,0.42,0,0.473,0.16
R00000263,4,positive,0.408,positive,positive,neutral,positive,satisfaction,0,0.268,0,0.529,0.413
R00000264,4,positive,0.51,positive,positive,neutral,neutral,satisfaction,0,0.435,0,0.727,0.428
R00000265,4,positive,0.636,neutral,positive,neutral,neutral,satisfaction,0,0.214,0,0.646,0.347
R00000266,5,positive,1.0,positive,positive,positive,positive,delight,0,0.174,0,0.728,0.826
R00000267,4,positive,0.463,positive,neutral,positive,positive,mild_joy,0,0.445,0,0.645,0.618
R00000268,1,negative,-0.983,negative,negative,negative,negative,anger,0,0.361,0,0.735,-0.56
R00000269,1,negative,-1.0,negative,negative,negative,negative,frustration,0,0.115,0,0.397,-0.784
R00000270,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.027,0,0.538,0.831
R00000271,4,positive,0.449,neutral,positive,neutral,positive,satisfaction,0,0.185,0,0.797,0.469
R00000272,2,negative,-0.655,negative,negative,negative,neutral,frustration,0,0.209,0,0.725,-0.497
R00000273,4,positive,0.479,positive,positive,positive,positive,satisfaction,0,0.073,0,0.745,0.381
R00000274,1,negative,-1.0,negative,negative,negative,negative,disgust,0,0.186,0,0.548,-0.729
R00000275,1,negative,-1.0,negative,negative,negative,neutral,disgust,0,0.255,0,0.547,-0.808
R00000276,5,positive,1.0,positive,positive,positive,neutral,satisfaction,0,0.094,0,0.239,0.655
R00000277,4,positive,0.426,neutral,negative,neutral,positive,mild_joy,0,0.525,0,0.681,0.115
R00000278,1,negative,-0.934,negative,negative,negative,negative,disgust,0,0.395,0,0.402,-0.804
R00000279,4,positive,0.511,positive,neutral,positive,neutral,neutral,0,0.337,0,0.641,0.271
R00000280,5,positive,1.0,neutral,positive,positive,positive,satisfaction,0,0.146,0,0.439,0.843
