seller_id,n_products,avg_product_rating,total_reviews,avg_star,fake_rate,verified_rate,years_on_platform,ships_internationally,avg_shipping_days,return_rate_pct
S0113,11,3.12,216,3.38,0.0509,0.806,6,1,2.2,5.7
S0114,13,3.21,282,3.62,0.0816,0.752,6,1,5.8,5.7
S0115,9,3.03,206,3.64,0.1019,0.718,6,0,4.7,3.6
S0116,11,3.57,233,3.88,0.0815,0.751,2,0,7.2,8.3
S0117,10,3.38,178,3.47,0.0674,0.753,2,1,3.8,4.6
S0118,10,3.37,200,3.99,0.085,0.76,1,0,3.5,8.3
S0119,5,3.13,95,3.62,0.0316,0.8,8,0,3.0,4.9
S0120,9,2.98,174,3.39,0.0632,0.764,9,0,6.5,2.4
S0121,6,3.37,122,4.11,0.0656,0.68,7,1,3.6,3.0
S0122,15,3.31,319,3.75,0.0627,0.727,4,0,3.4,11.4
S0123,9,2.85,148,3.3,0.0743,0.743,7,1,1.9,6.0
S0124,11,3.01,202,3.25,0.0792,0.787,2,1,5.7,2.6
S0125,13,3.03,281,3.44,0.0712,0.747,3,1,4.4,7.6
S0126,9,2.99,177,3.11,0.0339,0.746,9,0,13.3,4.6
S0127,10,3.04,150,3.37,0.0733,0.74,5,1,5.1,2.9
S0128,8,3.54,145,4.14,0.0621,0.759,8,0,5.4,10.5
S0129,9,3.4,169,3.58,0.0473,0.763,3,0,6.9,5.9
S0130,13,3.27,272,3.65,0.0699,0.743,8,0,7.4,8.0
S0131,18,3.26,302,3.77,0.0497,0.722,5,0,5.3,6.5
S0132,8,3.46,145,3.9,0.0276,0.772,2,0,3.1,5.6
S0133,6,3.02,140,3.35,0.05,0.779,5,0,3.9,4.8
S0134,15,3.51,285,3.97,0.0596,0.705,5,1,3.0,5.8
S0135,8,3.76,209,4.04,0.0431,0.713,8,1,3.6,3.9
S0136,7,3.27,138,3.54,0.0435,0.783,5,0,2.9,3.5
S0137,8,3.02,158,3.2,0.0759,0.753,7,0,5.2,3.3
S0138,14,3.74,313,4.01,0.0639,0.725,8,0,3.1,7.1
S0139,13,3.1,242,3.49,0.0785,0.748,1,0,4.7,5.3
S0140,7,3.38,146,4.05,0.0822,0.651,8,0,5.3,7.2
S0141,5,3.08,109,3.27,0.0734,0.743,7,0,4.0,6.0
S0142,8,2.96,188,3.19,0.0266,0.702,6,1,5.0,6.0
S0143,11,2.96,246,3.26,0.0772,0.748,5,0,8.1,5.9
S0144,12,3.42,216,3.9,0.0648,0.727,5,1,3.3,6.7
S0145,10,3.28,245,3.65,0.0653,0.71,6,0,3.0,4.8
S0146,15,2.93,265,3.17,0.0642,0.755,4,0,2.8,6.3
S0147,9,3.2,168,3.47,0.0357,0.75,9,0,7.8,13.6
S0148,10,3.49,226,3.7,0.0575,0.743,6,1,6.3,3.3
S0149,7,2.79,126,3.27,0.0714,0.778,8,1,2.6,7.1
S0150,10,3.26,180,3.4,0.0444,0.694,1,0,9.1,5.0
S0151,6,2.97,100,3.07,0.06,0.72,3,0,4.0,3.5
S0152,10,2.91,169,3.29,0.071,0.74,4,0,3.7,5.5
S0153,9,3.47,171,3.58,0.0643,0.766,3,0,1.7,2.7
S0154,10,3.14,226,3.23,0.0575,0.752,9,0,2.7,8.8
S0155,11,3.47,234,3.97,0.0513,0.825,1,1,6.4,3.1
S0156,10,2.86,199,3.09,0.0402,0.774,1,0,4.4,5.5
S0157,4,4.15,113,4.43,0.0442,0.655,5,0,2.7,5.4
S0158,9,3.25,203,3.62,0.0394,0.768,3,0,4.3,7.7
S0159,10,3.18,203,3.49,0.0739,0.749,8,1,6.2,9.3
S0160,4,3.21,61,3.41,0.0656,0.738,1,1,3.5,3.1
S0161,5,2.62,107,2.49,0.0187,0.72,3,0,11.5,7.0
S0162,9,3.02,178,3.47,0.0562,0.798,6,1,7.6,2.5
S0163,7,2.85,157,3.19,0.0637,0.745,8,1,8.5,16.5
S0164,6,3.25,123,3.52,0.0244,0.756,2,1,4.8,7.4
S0165,13,3.09,247,3.3,0.0769,0.757,7,0,6.3,3.9
S0166,14,3.06,233,3.54,0.0644,0.717,8,0,4.7,9.0
S0167,9,3.4,210,3.39,0.0381,0.724,4,1,3.3,6.8
S0168,8,3.68,185,3.86,0.0541,0.703,8,0,6.2,7.4
S0169,7,3.03,114,3.42,0.0526,0.719,9,1,3.6,6.6
S0170,11,3.48,220,3.7,0.0636,0.745,2,1,6.7,4.0
S0171,9,2.96,158,3.25,0.019,0.778,1,1,5.4,4.9
S0172,9,2.99,149,3.35,0.0201,0.745,5,1,5.6,5.8
S0173,8,3.24,129,3.57,0.0078,0.721,4,1,5.4,4.3
S0174,10,3.19,226,3.7,0.0708,0.721,3,0,1.6,9.7
S0175,13,3.59,280,3.94,0.0393,0.725,4,0,4.6,7.1
S0176,19,3.32,342,3.73,0.0468,0.766,4,0,9.6,6.0
S0177,12,3.02,198,3.48,0.0455,0.742,2,0,4.4,5.2
S0178,10,2.93,202,3.26,0.0693,0.728,1,0,2.9,2.9
S0179,8,3.01,139,3.5,0.0504,0.755,2,1,2.6,5.0
S0180,5,3.43,86,4.01,0.0814,0.721,2,0,4.9,4.2
S0181,7,2.83,127,3.27,0.0709,0.74,8,0,4.4,8.7
S0182,6,3.1,138,3.5,0.029,0.775,7,0,4.2,4.9
S0183,6,2.97,118,3.35,0.0424,0.78,2,1,5.5,6.9
S0184,12,3.15,245,3.36,0.0531,0.69,2,0,2.7,4.5
S0185,7,3.18,141,3.64,0.0567,0.745,5,0,3.7,4.3
S0186,9,3.21,130,3.58,0.0769,0.754,2,0,4.7,5.6
S0187,14,3.09,332,3.53,0.0452,0.714,5,0,3.1,3.9
S0188,6,3.23,146,4.0,0.0753,0.767,6,0,6.8,7.8
S0189,12,3.04,197,3.31,0.0355,0.736,5,0,4.7,8.1
S0190,7,3.49,145,3.46,0.069,0.703,1,0,3.5,8.8
S0191,10,2.98,201,3.43,0.0647,0.766,7,0,6.5,15.3
S0192,9,3.14,182,3.37,0.0549,0.747,9,1,4.4,5.7
S0193,13,3.16,243,3.37,0.037,0.77,2,1,4.1,7.4
S0194,8,3.24,175,3.57,0.0629,0.714,9,0,2.9,2.8
S0195,9,3.59,193,4.12,0.0674,0.731,7,0,3.8,5.0
S0196,13,3.33,287,3.69,0.0732,0.791,4,0,2.8,2.3
S0197,12,3.64,237,4.16,0.0633,0.751,4,1,1.5,8.7
S0198,15,3.23,334,3.45,0.0749,0.751,2,0,6.2,11.9
S0199,10,3.42,242,3.94,0.0744,0.752,7,0,3.4,3.6
S0200,6,3.71,151,3.97,0.0596,0.735,3,1,10.2,12.7
S0201,12,3.18,204,3.35,0.0392,0.721,2,1,6.6,6.3
S0202,9,3.51,171,3.44,0.0702,0.772,6,1,2.7,1.9
S0203,10,3.04,217,3.45,0.0599,0.737,2,1,2.8,7.5
S0204,5,3.54,77,4.06,0.0519,0.805,7,0,2.0,9.1
S0205,12,3.61,258,3.94,0.0426,0.76,5,0,3.5,5.4
S0206,6,3.18,135,3.2,0.0148,0.748,4,1,3.3,6.7
S0207,13,3.48,252,3.71,0.0476,0.754,6,0,6.0,12.5
S0208,8,3.17,197,3.7,0.0457,0.797,7,1,4.9,9.2
S0209,14,2.73,246,3.11,0.0366,0.687,8,1,5.3,8.4
S0210,13,3.24,319,3.55,0.0533,0.777,3,1,5.8,15.2
S0211,14,3.39,264,3.72,0.0758,0.716,5,0,3.5,3.6
S0212,8,3.44,137,3.93,0.0584,0.73,2,0,4.8,4.5
S0213,10,3.22,240,3.43,0.05,0.712,2,0,2.8,1.2
S0214,22,3.23,457,3.56,0.0613,0.707,5,1,2.4,24.0
S0215,9,3.46,164,3.59,0.0183,0.75,4,0,4.6,7.9
S0216,10,3.05,228,3.4,0.0746,0.759,5,0,2.5,9.7
S0217,9,3.28,173,3.65,0.0636,0.757,6,1,3.7,4.1
S0218,5,3.77,102,4.05,0.0686,0.706,2,0,5.5,4.6
S0219,11,3.16,242,3.42,0.0744,0.719,3,0,4.9,4.7
S0220,5,3.66,122,4.16,0.041,0.689,5,1,9.0,2.3
S0221,6,3.66,103,4.21,0.0583,0.757,4,0,3.2,7.5
S0222,12,2.6,223,2.99,0.0404,0.731,4,0,4.4,5.6
S0223,12,3.43,224,3.71,0.0446,0.688,8,0,3.8,4.9
S0224,14,3.44,229,3.87,0.083,0.79,8,1,4.5,7.7
S0225,7,3.78,177,3.88,0.0508,0.774,7,0,8.7,5.9
S0226,16,3.22,396,3.64,0.0379,0.775,8,1,3.0,7.0
S0227,11,3.42,172,3.69,0.0698,0.721,2,0,2.6,3.8
S0228,10,3.21,212,3.56,0.0566,0.741,6,1,5.2,7.1
S0229,10,2.87,224,3.26,0.0938,0.754,2,0,7.9,6.2
S0230,10,3.3,215,3.86,0.0605,0.772,3,1,3.4,17.0
S0231,11,3.02,221,3.17,0.0407,0.729,5,1,9.4,18.4
S0232,15,3.4,290,3.68,0.0414,0.714,1,0,12.0,7.7
S0233,8,3.08,167,3.55,0.0659,0.749,2,1,3.0,4.8
S0234,12,3.08,244,3.27,0.0533,0.775,5,0,4.3,5.5
S0235,8,3.37,164,3.61,0.061,0.726,8,0,1.2,3.4
S0236,14,3.29,334,3.6,0.0479,0.743,8,0,1.8,7.5
S0237,3,3.53,69,3.43,0.058,0.71,5,1,5.9,2.9
S0238,5,3.06,77,3.45,0.0649,0.662,2,0,4.7,2.1
S0239,9,3.04,273,3.34,0.0769,0.729,4,1,5.5,7.8
S0240,13,3.49,283,4.02,0.0848,0.721,2,0,7.5,4.1
S0241,11,3.19,224,3.42,0.058,0.696,7,1,4.0,4.3
S0242,10,3.14,191,3.48,0.0366,0.738,1,0,3.5,8.9
S0243,10,2.87,181,3.13,0.0221,0.707,2,0,4.5,5.6
S0244,14,3.64,276,3.92,0.058,0.761,1,0,6.7,2.9
S0245,6,3.04,108,3.34,0.0833,0.796,2,0,2.0,5.6
S0246,13,3.09,297,3.48,0.064,0.727,7,0,5.7,4.6
S0247,13,3.27,324,3.64,0.0525,0.707,7,0,3.8,2.5
S0248,6,2.66,135,3.25,0.0963,0.778,3,1,2.6,11.8
S0249,7,3.21,133,3.56,0.0902,0.722,7,1,2.0,3.8
S0250,11,2.96,212,3.28,0.066,0.778,9,0,5.7,7.5
S0251,12,3.68,263,3.9,0.057,0.722,5,1,1.7,4.3
S0252,5,3.33,99,3.42,0.0909,0.737,7,1,2.8,10.7
S0253,10,2.75,210,3.31,0.0333,0.757,8,0,7.0,4.5
S0254,7,2.94,138,3.24,0.0725,0.761,4,1,7.0,5.0
S0255,11,3.36,234,3.71,0.0598,0.756,9,0,2.2,3.7
S0256,10,3.33,195,3.77,0.041,0.754,5,1,5.7,4.6
S0257,12,3.35,213,3.6,0.0423,0.714,4,1,9.6,8.6
S0258,12,3.08,197,3.34,0.0457,0.701,6,1,10.7,6.9
S0259,7,3.53,149,3.89,0.0805,0.852,3,0,1.5,8.6
S0260,11,3.37,230,3.69,0.0391,0.717,3,1,3.9,7.7
S0261,6,3.1,105,3.42,0.0857,0.762,2,0,2.9,8.3
S0262,12,3.39,219,3.99,0.0685,0.785,3,0,3.5,4.4
S0263,4,3.23,59,3.78,0.0,0.627,8,0,4.7,5.8
S0264,7,3.6,116,3.91,0.0776,0.716,5,0,2.8,8.2
S0265,14,3.06,282,3.38,0.0532,0.723,5,0,8.7,5.1
S0266,7,3.25,147,3.42,0.0748,0.755,6,0,2.1,5.3
S0267,16,3.47,357,3.76,0.0588,0.742,8,0,3.1,3.8
S0268,11,3.09,225,3.31,0.0533,0.738,5,0,2.2,10.1
S0269,17,3.33,338,3.76,0.0769,0.743,3,1,7.2,6.5
S0270,7,3.05,164,3.7,0.0915,0.744,3,1,3.6,5.9
S0271,7,2.99,131,3.47,0.0916,0.74,4,1,4.1,9.3
S0272,5,3.2,118,3.47,0.0339,0.805,6,0,14.5,5.4
S0273,15,2.9,318,3.33,0.0409,0.708,5,0,2.8,3.6
S0274,8,2.89,190,3.03,0.0632,0.8,7,1,5.9,8.4
S0275,2,2.91,19,3.53,0.1053,0.895,7,1,2.6,4.3
S0276,7,2.66,109,3.11,0.0459,0.743,8,0,5.7,13.7
S0277,11,3.12,233,3.56,0.0386,0.695,7,0,4.2,8.7
S0278,13,2.83,280,3.23,0.0714,0.789,5,0,2.0,7.0
S0279,20,3.05,422,3.43,0.0545,0.749,1,0,2.7,5.4
S0280,13,3.43,306,3.79,0.0621,0.768,4,1,3.3,4.2
S0281,9,2.99,194,3.54,0.0825,0.753,2,0,4.0,4.6
S0282,11,3.28,205,3.7,0.0732,0.678,4,1,7.3,5.7
S0283,8,3.26,162,3.77,0.0494,0.765,8,0,6.1,11.9
S0284,11,3.03,199,3.16,0.0452,0.739,6,0,9.9,8.7
S0285,8,3.7,165,3.76,0.0727,0.752,6,0,1.2,8.8
S0286,8,3.28,176,3.59,0.0568,0.744,6,0,6.0,7.4
S0287,8,3.27,161,3.43,0.0559,0.764,5,1,8.3,6.8
S0288,9,3.04,160,3.52,0.0438,0.738,9,1,5.6,2.2
S0289,10,3.0,181,3.49,0.0497,0.696,7,1,14.6,7.4
S0290,13,3.53,315,3.78,0.0635,0.749,8,0,6.0,3.8
S0291,12,3.2,229,3.48,0.0349,0.786,3,1,6.0,5.9
S0292,14,3.24,288,3.67,0.0486,0.753,3,1,2.8,7.7
S0293,6,3.2,103,3.62,0.0485,0.757,1,1,11.3,6.6
S0294,7,3.43,131,3.84,0.0611,0.756,1,0,2.7,10.1
S0295,8,3.08,185,3.4,0.0486,0.724,9,1,2.9,5.1
S0296,12,3.1,260,3.33,0.05,0.742,7,0,15.8,8.5
S0297,9,3.72,170,3.88,0.0765,0.759,4,1,2.9,11.2
S0298,6,3.34,92,3.34,0.1087,0.826,1,0,3.0,5.8
S0299,10,3.28,166,3.55,0.0241,0.765,9,0,2.9,3.2
S0300,7,3.57,129,3.95,0.0233,0.729,6,1,7.0,6.3
S0301,14,3.24,271,3.51,0.059,0.686,1,0,4.8,3.6
S0302,5,2.68,124,3.15,0.0645,0.734,8,1,4.6,9.4
S0303,6,2.38,110,2.69,0.0455,0.764,4,0,1.5,8.2
S0304,15,2.93,254,3.39,0.0787,0.72,1,0,3.1,6.3
S0305,7,3.57,149,3.59,0.0604,0.738,9,1,2.8,4.5
S0306,12,3.24,220,3.86,0.0545,0.736,6,0,9.7,3.1
S0307,11,3.32,195,3.64,0.0718,0.764,3,0,3.9,6.4
S0308,15,3.56,267,3.87,0.0787,0.723,9,1,4.2,3.8
S0309,9,3.8,181,4.3,0.0939,0.751,9,1,3.5,9.8
S0310,4,3.62,102,3.32,0.0294,0.716,1,1,4.5,3.4
S0311,6,3.24,116,3.95,0.069,0.776,6,0,10.4,4.7
S0312,13,3.33,212,3.5,0.0566,0.712,8,0,2.5,11.8
S0313,14,3.19,261,3.42,0.0728,0.805,8,1,3.7,11.6
S0314,8,3.19,173,3.32,0.0347,0.746,8,0,2.9,12.7
S0315,8,3.36,120,3.54,0.0667,0.7,7,0,3.0,9.8
S0316,6,3.43,107,3.87,0.0561,0.701,7,1,6.4,5.8
S0317,12,3.47,270,3.76,0.0519,0.73,6,0,6.3,4.9
S0318,12,3.29,231,3.6,0.039,0.775,1,0,2.2,4.7
S0319,12,3.17,255,3.29,0.0471,0.725,7,1,3.4,4.7
S0320,9,2.88,156,3.33,0.0513,0.744,6,1,2.8,3.3
S0321,9,3.01,206,3.35,0.0485,0.748,1,0,1.3,3.6
S0322,7,3.6,152,3.91,0.0461,0.704,9,0,5.8,4.4
S0323,8,3.22,149,3.66,0.0738,0.711,4,0,4.7,5.1
S0324,6,2.96,100,3.35,0.06,0.77,1,0,1.2,9.0
S0325,5,3.17,108,3.76,0.0648,0.75,4,1,2.6,6.7
S0326,11,3.21,285,3.66,0.0561,0.74,1,0,2.6,4.3
S0327,13,3.13,252,3.48,0.0635,0.754,1,0,4.5,15.5
S0328,12,2.65,277,2.8,0.0578,0.736,8,0,2.7,6.8
S0329,9,3.13,157,3.32,0.0446,0.732,6,0,2.0,3.4
S0330,7,3.48,115,3.92,0.0435,0.739,2,1,3.8,5.7
S0331,8,3.2,171,3.6,0.0292,0.778,3,1,5.2,5.1
S0332,15,3.24,288,3.86,0.0417,0.76,2,0,2.5,17.1
S0333,16,3.37,373,3.57,0.0563,0.7,1,0,4.1,10.5
S0334,9,3.2,171,3.56,0.0351,0.719,5,0,3.4,8.7
S0335,10,3.6,170,3.89,0.0647,0.741,7,1,3.2,10.3
S0336,19,3.12,397,3.56,0.0756,0.733,7,1,2.6,4.7
S0337,13,3.01,269,3.48,0.0632,0.784,6,0,3.1,8.3
S0338,9,2.95,181,3.38,0.0608,0.724,1,1,13.3,7.1
S0339,7,2.92,144,3.47,0.0556,0.757,8,1,3.3,5.7
S0340,9,3.28,142,3.66,0.0423,0.732,2,1,10.4,4.6
S0341,10,3.31,185,3.7,0.0541,0.768,9,1,4.1,6.0
S0342,7,3.3,181,3.57,0.0442,0.729,4,0,3.6,4.2
S0343,12,3.51,249,3.74,0.0602,0.731,8,1,4.1,7.0
S0344,13,2.89,255,3.13,0.0784,0.725,1,0,2.0,5.6
S0345,8,3.49,127,3.84,0.1181,0.795,1,0,6.1,14.8
S0346,10,2.92,224,3.25,0.0491,0.75,6,1,1.9,3.9
S0347,10,2.89,202,3.26,0.0743,0.743,7,0,3.3,6.6
S0348,9,3.24,193,3.69,0.0725,0.788,4,1,1.2,7.9
S0349,7,3.07,137,3.69,0.0657,0.752,8,0,4.5,1.9
S0350,14,3.53,339,3.95,0.0885,0.749,1,1,4.4,9.9
S0351,14,2.96,241,3.33,0.0373,0.739,2,0,4.6,26.4
S0352,8,3.14,144,3.49,0.0694,0.701,2,1,10.3,7.3
S0353,11,3.16,197,3.46,0.0964,0.736,7,0,3.3,18.2
S0354,7,2.84,103,3.36,0.0777,0.777,3,0,4.8,5.0
S0355,9,3.26,139,3.53,0.0719,0.741,3,0,4.9,2.1
S0356,16,3.51,352,3.91,0.0483,0.744,5,0,2.6,6.4
S0357,13,2.99,244,3.61,0.0656,0.75,7,0,5.6,3.4
S0358,6,3.43,123,3.75,0.0407,0.715,4,0,2.6,1.9
S0359,13,3.34,277,3.59,0.0542,0.715,5,0,1.6,20.5
S0360,7,3.24,142,3.63,0.0352,0.683,9,1,4.5,2.5
S0361,14,3.46,268,3.81,0.0261,0.713,9,0,7.3,11.9
S0362,5,2.71,79,2.91,0.0633,0.734,6,0,3.4,2.8
S0363,11,3.09,190,3.23,0.0316,0.732,5,0,6.1,12.4
S0364,13,3.24,276,3.55,0.058,0.714,7,1,7.0,7.4
S0365,11,3.12,181,3.43,0.0608,0.729,6,0,3.9,5.5
S0366,19,2.77,423,3.25,0.0709,0.723,4,0,4.2,8.6
S0367,12,3.33,249,3.31,0.0321,0.743,1,0,3.5,6.9
S0368,7,3.13,96,3.73,0.0729,0.74,5,0,7.3,10.1
S0369,12,3.27,222,3.66,0.0586,0.77,4,1,3.6,7.2
S0370,7,3.46,163,3.75,0.0613,0.767,2,0,4.8,3.9
S0371,11,3.32,187,3.56,0.0749,0.786,9,0,3.0,8.3
S0372,8,3.5,118,3.98,0.0254,0.703,6,0,6.1,7.1
S0373,5,2.71,116,3.11,0.0603,0.716,3,1,10.5,2.4
S0374,13,3.09,238,3.24,0.042,0.756,6,0,5.7,9.5
S0375,14,3.32,280,3.79,0.0786,0.718,7,0,6.5,6.0
