review_id,product_id,user_id,review_date,year,month,star_rating,sentiment,verified_purchase,is_fake_review,review_length_words,has_title,title_word_count,num_images_attached,helpful_votes,total_votes,helpful_ratio,days_since_purchase,reviewer_review_count,is_top_reviewer,is_early_review,exclamation_marks,all_caps_ratio,readability_score,category,price_usd,price_tier,brand_tier
R00000108,P004095,U016065,2022-06-03,2022,6,4,positive,1,0,102,1,3,0,11,13,0.846,4,23,0,0,0,0.029,81.2,Clothing,22.32,low,premium
R00000109,P000298,U017853,2023-02-16,2023,2,4,positive,1,0,72,1,7,0,5,7,0.714,2,38,1,0,0,0.016,57.6,Toys & Games,113.88,high,mid
R00000110,P001798,U006143,2020-07-19,2020,7,4,positive,1,0,32,1,4,0,23,30,0.767,10,32,1,0,0,0.002,64.2,Clothing,41.44,low,mid
R00000111,P000781,U027808,2022-03-30,2022,3,4,positive,1,0,44,1,8,0,3,4,0.75,16,6,0,0,0,0.033,93.1,Clothing,49.79,low,premium
R00000112,P004561,U021391,2024-07-09,2024,7,3,neutral,1,0,77,1,3,0,1,1,1.0,22,23,0,0,0,0.027,67.5,Automotive,85.32,mid,mid
R00000113,P001229,U010004,2022-08-30,2022,8,3,neutral,0,0,32,1,11,0,2,2,1.0,3,18,0,0,0,0.025,73.6,Food & Grocery,95.45,mid,mid
R00000114,P003839,U012652,2023-08-13,2023,8,5,positive,1,0,102,1,3,0,1,1,1.0,7,14,0,0,1,0.033,46.9,Toys & Games,75.02,mid,mid
R00000115,P003074,U015811,2024-02-18,2024,2,4,positive,1,0,18,1,4,0,12,13,0.923,37,4,0,0,0,0.01,100.0,Beauty,27.63,low,mid
R00000116,P003841,U028587,2024-06-10,2024,6,4,positive,1,0,51,1,3,0,1,1,1.0,46,36,1,0,0,0.016,69.9,Beauty,28.96,low,budget
R00000117,P003353,U011925,2020-02-07,2020,2,1,negative,0,1,242,1,4,4,1,1,1.0,31,36,1,0,6,0.143,62.8,Electronics,174.49,high,mid
R00000118,P001433,U011623,2024-11-04,2024,11,4,positive,0,0,88,0,0,0,2,2,1.0,5,24,0,0,0,0.047,44.0,Electronics,385.0,premium,budget
R00000119,P002498,U008508,2023-01-23,2023,1,3,neutral,1,0,46,0,0,0,11,13,0.846,22,33,1,0,0,0.012,77.9,Clothing,23.76,low,budget
R00000120,P000872,U022537,2023-02-16,2023,2,5,positive,1,0,89,1,10,0,6,6,1.0,8,24,0,0,0,0.026,62.6,Electronics,233.51,high,mid
R00000121,P001162,U025813,2024-10-09,2024,10,5,positive,1,0,62,1,8,3,2,2,1.0,15,34,1,0,0,0.069,61.4,Sports & Outdoors,233.76,high,budget
R00000122,P000628,U027220,2024-11-15,2024,11,5,positive,1,0,117,0,0,0,10,12,0.833,7,1,0,0,2,0.059,66.3,Electronics,135.95,high,mid
R00000123,P004379,U013863,2022-11-08,2022,11,4,positive,1,0,76,1,10,0,2,3,0.667,34,5,0,0,0,0.046,81.3,Health,61.7,mid,budget
R00000124,P001424,U030455,2022-10-20,2022,10,4,positive,1,0,101,1,10,0,21,27,0.778,7,12,0,0,0,0.078,67.9,Home & Kitchen,47.68,low,budget
R00000125,P000665,U029201,2021-12-05,2021,12,4,positive,1,0,41,1,5,0,4,5,0.8,3,1,0,0,0,0.0,85.8,Home & Kitchen,26.71,low,budget
R00000126,P001204,U009099,2024-06-17,2024,6,5,positive,0,0,15,1,5,0,5,5,1.0,5,11,0,0,2,0.013,61.0,Beauty,34.8,low,mid
R00000127,P001315,U038770,2021-01-16,2021,1,4,positive,1,0,62,1,5,1,0,0,0.0,31,23,0,0,0,0.052,88.9,Electronics,162.04,high,premium
R00000128,P000634,U038107,2024-10-04,2024,10,3,neutral,1,0,76,1,7,0,1,1,1.0,51,4,0,0,0,0.004,30.0,Home & Kitchen,21.82,low,mid
R00000129,P003492,U006635,2023-09-28,2023,9,2,negative,1,0,109,1,7,0,2,2,1.0,21,36,1,0,0,0.02,74.6,Electronics,242.6,high,mid
R00000130,P003339,U030311,2024-02-09,2024,2,3,neutral,0,0,44,1,3,0,4,4,1.0,6,25,1,0,0,0.072,77.5,Clothing,23.26,low,mid
R00000131,P002950,U022217,2024-08-19,2024,8,3,neutral,1,0,105,0,0,0,0,0,0.0,6,13,0,0,0,0.029,72.8,Health,75.86,mid,mid
R00000132,P004344,U018106,2023-04-08,2023,4,2,negative,1,0,50,1,11,0,18,20,0.9,16,3,0,0,0,0.078,65.8,Clothing,50.99,mid,budget
R00000133,P000269,U019319,2020-11-29,2020,11,5,positive,1,0,19,1,4,2,6,8,0.75,15,28,1,0,1,0.041,86.4,Electronics,117.21,high,budget
R00000134,P003038,U034209,2024-07-10,2024,7,5,positive,1,0,35,1,4,0,1,2,0.5,72,12,0,0,2,0.046,83.5,Electronics,123.59,high,mid
R00000135,P002943,U011880,2021-05-19,2021,5,2,negative,1,0,104,1,9,0,0,0,0.0,7,42,1,0,0,0.039,50.5,Toys & Games,58.16,mid,mid
R00000136,P003588,U021306,2024-12-25,2024,12,4,positive,1,0,30,1,8,0,1,1,1.0,3,47,1,0,0,0.075,74.5,Books,11.22,budget,mid
R00000137,P001629,U004495,2023-01-05,2023,1,3,neutral,1,0,42,1,4,0,57,63,0.905,20,20,0,0,0,0.054,75.6,Clothing,48.0,low,mid
R00000138,P002141,U021987,2023-06-25,2023,6,3,neutral,1,0,32,1,6,0,3,4,0.75,7,9,0,0,0,0.006,67.4,Health,40.22,low,mid
R00000139,P001697,U000579,2024-04-01,2024,4,5,positive,0,0,28,1,5,0,5,6,0.833,10,31,1,0,2,0.06,52.9,Clothing,42.99,low,mid
R00000140,P001961,U022065,2023-09-21,2023,9,4,positive,1,0,23,1,8,0,17,20,0.85,13,47,1,0,0,0.002,66.0,Sports & Outdoors,61.09,mid,mid
R00000141,P003202,U032523,2023-03-08,2023,3,5,positive,1,1,43,1,5,5,6,6,1.0,29,35,1,0,6,0.113,63.7,Food & Grocery,14.17,budget,mid
R00000142,P001288,U019606,2022-04-23,2022,4,5,positive,1,1,73,1,11,0,2,2,1.0,11,20,0,0,4,0.306,53.2,Clothing,67.26,mid,premium
R00000143,P004338,U015145,2024-11-10,2024,11,5,positive,1,0,27,1,7,0,1,1,1.0,11,4,0,0,2,0.022,61.2,Electronics,78.76,mid,mid
R00000144,P004969,U039432,2022-09-24,2022,9,3,neutral,0,0,36,1,5,0,1,1,1.0,11,21,0,0,0,0.025,57.2,Electronics,165.27,high,budget
R00000145,P002142,U011163,2024-06-17,2024,6,3,neutral,1,0,13,0,0,0,6,6,1.0,34,14,0,0,0,0.036,89.0,Home & Kitchen,59.25,mid,budget
R00000146,P004955,U015734,2024-02-13,2024,2,5,positive,1,0,27,0,0,0,2,2,1.0,28,3,0,0,2,0.034,70.4,Clothing,40.12,low,budget
R00000147,P002417,U012159,2020-10-05,2020,10,3,neutral,1,0,38,1,6,0,2,3,0.667,19,18,0,0,0,0.058,92.1,Clothing,52.92,mid,mid
R00000148,P000097,U004526,2020-08-03,2020,8,2,negative,1,0,64,1,3,0,1,1,1.0,33,39,1,0,0,0.07,80.0,Home & Kitchen,37.91,low,budget
R00000149,P004513,U035904,2023-05-07,2023,5,2,negative,1,0,44,1,3,0,12,15,0.8,6,27,1,0,0,0.038,86.2,Health,189.59,high,mid
R00000150,P001682,U017720,2024-01-27,2024,1,5,positive,1,0,105,1,3,2,1,1,1.0,11,36,1,0,0,0.003,40.0,Toys & Games,31.86,low,mid
R00000151,P000301,U036763,2024-07-03,2024,7,4,positive,0,0,39,1,3,0,0,0,0.0,10,25,1,0,0,0.026,50.9,Toys & Games,21.46,low,mid
R00000152,P000931,U008990,2023-11-24,2023,11,3,neutral,1,0,57,1,4,0,3,3,1.0,5,4,0,0,0,0.04,45.4,Clothing,24.53,low,mid
R00000153,P003621,U005840,2022-01-21,2022,1,5,positive,1,0,120,1,8,0,0,0,0.0,5,21,0,0,0,0.045,69.0,Sports & Outdoors,105.38,high,mid
R00000154,P001169,U034986,2023-05-08,2023,5,5,positive,0,0,95,1,11,0,2,2,1.0,21,8,0,0,1,0.04,43.0,Toys & Games,23.23,low,budget
R00000155,P003668,U025417,2021-04-11,2021,4,1,negative,1,0,75,1,5,0,6,8,0.75,8,15,0,0,0,0.067,66.7,Electronics,138.41,high,mid
R00000156,P004160,U025444,2022-03-02,2022,3,1,negative,1,0,75,0,0,0,12,13,0.923,31,3,0,0,0,0.079,64.4,Clothing,24.83,low,premium
R00000157,P004550,U033905,2023-05-24,2023,5,4,positive,1,0,65,1,8,0,7,8,0.875,9,16,0,0,0,0.048,75.1,Clothing,22.44,low,premium
R00000158,P004531,U012086,2023-03-04,2023,3,5,positive,1,0,89,1,3,0,6,8,0.75,34,49,1,0,2,0.037,73.4,Toys & Games,12.78,budget,mid
R00000159,P000914,U001421,2024-10-28,2024,10,5,positive,1,0,38,1,7,0,5,6,0.833,17,45,1,0,2,0.056,48.1,Automotive,57.51,mid,premium
R00000160,P002798,U004099,2020-04-19,2020,4,3,neutral,1,0,56,1,9,0,8,11,0.727,8,3,0,0,0,0.032,50.1,Home & Kitchen,48.64,low,budget
R00000161,P004417,U028101,2021-03-10,2021,3,5,positive,0,0,157,1,5,0,5,5,1.0,11,22,0,0,1,0.044,77.8,Books,22.2,low,mid
R00000162,P001213,U035914,2024-11-15,2024,11,1,negative,1,0,79,1,3,0,1,1,1.0,2,41,1,0,0,0.019,50.2,Books,8.3,budget,premium
R00000163,P004996,U017927,2022-10-20,2022,10,4,positive,1,0,36,0,0,0,0,0,0.0,9,26,1,0,0,0.035,67.2,Clothing,73.85,mid,budget
R00000164,P003685,U024261,2022-08-09,2022,8,4,positive,1,0,44,1,11,0,6,7,0.857,37,42,1,0,0,0.055,27.3,Clothing,51.12,mid,mid
