review_id,product_id,user_id,review_date,year,month,star_rating,sentiment,verified_purchase,is_fake_review,review_length_words,has_title,title_word_count,num_images_attached,helpful_votes,total_votes,helpful_ratio,days_since_purchase,reviewer_review_count,is_top_reviewer,is_early_review,exclamation_marks,all_caps_ratio,readability_score,category,price_usd,price_tier,brand_tier,seller_id,seller_fake_rate,sentiment_score,quality_aspect,shipping_aspect,value_aspect,service_aspect,emotion
R00000072,P002184,U001258,2023-11-25,2023,11,5,positive,1,0,138,1,3,3,2,2,1.0,21,30,1,0,2,0.032,60.6,Electronics,269.29,premium,mid,S0108,0.0436,0.983,positive,positive,positive,positive,satisfaction
R00000073,P002038,U003170,2023-04-12,2023,4,3,neutral,1,0,48,1,10,2,9,11,0.818,33,30,1,0,0,0.015,48.3,Electronics,160.49,high,mid,S0245,0.0833,-0.131,neutral,neutral,neutral,neutral,mild_disappointment
R00000074,P004618,U021668,2023-01-14,2023,1,5,positive,1,0,36,1,5,0,11,12,0.917,21,28,1,0,1,0.033,80.2,Books,15.5,budget,budget,S0398,0.0438,0.919,positive,positive,positive,positive,delight
R00000075,P001303,U008647,2022-12-23,2022,12,4,positive,1,0,34,1,4,0,28,32,0.875,26,2,0,0,0,0.027,73.9,Beauty,46.51,low,mid,S0108,0.0436,0.513,positive,positive,positive,positive,satisfaction
R00000076,P002934,U004940,2023-05-02,2023,5,4,positive,1,0,358,1,6,0,3,3,1.0,2,3,0,0,0,0.07,45.2,Health,21.16,low,mid,S0135,0.0431,0.586,positive,positive,negative,neutral,mild_joy
R00000077,P004135,U024504,2022-07-18,2022,7,2,negative,1,0,53,1,10,0,1,1,1.0,24,34,1,0,0,0.022,79.4,Books,26.67,low,budget,S0066,0.0698,-0.265,neutral,neutral,negative,neutral,disappointment
R00000078,P002286,U027318,2023-02-25,2023,2,3,neutral,1,0,65,1,10,3,3,3,1.0,19,18,0,0,0,0.026,93.4,Electronics,187.38,high,mid,S0005,0.0564,-0.081,negative,neutral,neutral,negative,mild_disappointment
R00000079,P003772,U021274,2022-07-13,2022,7,5,positive,1,0,59,1,9,0,4,4,1.0,12,13,0,0,1,0.053,73.3,Automotive,70.63,mid,premium,S0418,0.057,1.0,positive,positive,positive,positive,joy
R00000080,P002802,U006725,2024-07-05,2024,7,3,neutral,0,0,31,0,0,4,14,15,0.933,6,35,1,0,0,0.014,46.7,Books,15.15,budget,budget,S0442,0.0599,-0.125,neutral,neutral,positive,neutral,neutral
R00000081,P001759,U028632,2021-02-02,2021,2,2,negative,1,0,73,1,11,0,12,16,0.75,14,15,0,0,0,0.061,74.0,Health,42.81,low,mid,S0117,0.0674,-0.431,negative,neutral,negative,negative,frustration
R00000082,P004535,U013128,2024-02-06,2024,2,3,neutral,1,0,22,1,11,0,0,0,0.0,8,33,1,0,0,0.001,56.6,Books,7.24,budget,premium,S0482,0.0663,0.222,neutral,neutral,neutral,negative,neutral
R00000083,P001892,U028828,2023-11-16,2023,11,2,negative,1,0,70,1,8,0,1,1,1.0,2,13,0,0,0,0.036,79.7,Beauty,38.21,low,budget,S0131,0.0497,-0.371,neutral,neutral,negative,neutral,frustration
R00000084,P002303,U018373,2024-11-10,2024,11,5,positive,1,0,19,1,9,0,1,1,1.0,56,16,0,0,1,0.051,84.3,Home & Kitchen,67.37,mid,premium,S0399,0.0696,1.0,positive,positive,positive,positive,satisfaction
R00000085,P003242,U034599,2024-01-06,2024,1,3,neutral,1,0,32,1,5,0,1,2,0.5,1,32,1,0,0,0.08,93.9,Books,20.94,low,mid,S0483,0.0535,0.048,positive,neutral,neutral,negative,neutral
R00000086,P002969,U013704,2024-11-18,2024,11,4,positive,1,0,28,1,10,0,27,31,0.871,4,21,0,0,0,0.02,76.9,Books,22.82,low,mid,S0037,0.0489,0.546,positive,neutral,positive,positive,satisfaction
R00000087,P002573,U028563,2024-02-02,2024,2,3,neutral,0,0,35,1,10,0,0,0,0.0,33,31,1,0,0,0.018,73.4,Beauty,14.42,budget,budget,S0253,0.0333,-0.241,neutral,neutral,negative,negative,mild_disappointment
R00000088,P003457,U030569,2024-11-16,2024,11,5,positive,1,0,51,1,9,0,1,1,1.0,17,49,1,0,1,0.07,91.0,Food & Grocery,20.91,low,budget,S0122,0.0627,1.0,positive,positive,neutral,neutral,delight
R00000089,P003473,U030619,2020-10-01,2020,10,5,positive,1,0,51,1,3,0,7,8,0.875,1,38,1,0,2,0.035,59.3,Books,14.73,budget,mid,S0224,0.083,0.842,positive,positive,positive,positive,satisfaction
R00000090,P002654,U024450,2024-05-06,2024,5,4,positive,0,0,70,1,11,0,20,22,0.909,1,29,1,0,0,0.076,80.2,Beauty,11.4,budget,mid,S0158,0.0394,0.524,positive,neutral,neutral,positive,mild_joy
R00000091,P002535,U006159,2023-05-28,2023,5,4,positive,1,0,73,1,7,0,10,16,0.625,30,21,0,0,0,0.019,69.2,Food & Grocery,38.29,low,premium,S0026,0.066,0.415,positive,positive,neutral,positive,satisfaction
R00000092,P000834,U028317,2022-11-13,2022,11,4,positive,1,0,50,1,3,0,4,4,1.0,4,11,0,0,0,0.019,88.4,Beauty,35.23,low,mid,S0413,0.0608,0.524,neutral,positive,neutral,positive,neutral
R00000093,P003557,U001808,2024-06-13,2024,6,1,negative,0,0,41,1,5,0,10,11,0.909,3,40,1,0,0,0.079,96.7,Books,29.99,low,premium,S0246,0.064,-1.0,negative,negative,negative,negative,frustration
R00000094,P004957,U015744,2020-12-30,2020,12,3,neutral,1,0,36,1,8,4,10,12,0.833,14,21,0,0,0,0.027,81.0,Health,16.39,budget,mid,S0432,0.0538,0.065,neutral,neutral,neutral,neutral,neutral
R00000095,P001449,U028274,2024-01-23,2024,1,5,positive,0,0,70,1,7,2,5,6,0.833,5,41,1,0,0,0.022,65.5,Sports & Outdoors,50.06,mid,mid,S0380,0.0598,1.0,neutral,positive,neutral,neutral,satisfaction
R00000096,P001009,U032594,2024-12-01,2024,12,4,positive,1,0,99,1,8,0,3,3,1.0,5,9,0,0,0,0.053,67.6,Beauty,91.57,mid,mid,S0234,0.0533,0.291,positive,positive,neutral,neutral,satisfaction
R00000097,P004702,U004447,2021-06-12,2021,6,3,neutral,1,0,51,1,5,0,2,2,1.0,25,5,0,0,0,0.052,47.0,Home & Kitchen,29.39,low,mid,S0456,0.0657,-0.061,neutral,neutral,positive,neutral,mild_disappointment
R00000098,P002068,U027581,2024-02-10,2024,2,5,positive,1,0,53,0,0,5,1,1,1.0,12,34,1,0,0,0.062,66.8,Automotive,242.45,high,premium,S0220,0.041,1.0,neutral,positive,positive,positive,delight
R00000099,P003466,U005283,2024-02-12,2024,2,3,neutral,1,0,27,1,9,5,0,0,0.0,12,44,1,0,0,0.045,54.6,Toys & Games,10.73,budget,mid,S0297,0.0765,0.116,neutral,neutral,negative,negative,mild_disappointment
R00000100,P002365,U004778,2023-02-11,2023,2,2,negative,1,0,153,1,9,0,1,1,1.0,32,23,0,0,0,0.075,91.2,Sports & Outdoors,15.95,budget,budget,S0236,0.0479,-0.5,neutral,negative,negative,negative,frustration
R00000101,P002816,U015000,2024-04-10,2024,4,5,positive,0,0,81,0,0,0,4,4,1.0,8,26,1,0,1,0.071,80.7,Books,29.41,low,mid,S0473,0.0447,0.989,positive,positive,positive,positive,satisfaction
R00000102,P001670,U010441,2023-05-03,2023,5,4,positive,0,0,87,1,4,0,3,3,1.0,76,12,0,0,0,0.007,79.2,Health,6.94,budget,mid,S0377,0.0909,0.579,positive,neutral,neutral,positive,mild_joy
R00000103,P003859,U011485,2022-12-04,2022,12,3,neutral,1,0,131,1,6,0,3,4,0.75,16,4,0,0,0,0.065,22.6,Beauty,68.44,mid,budget,S0292,0.0486,-0.013,neutral,neutral,neutral,positive,neutral
R00000104,P002526,U012927,2024-08-22,2024,8,3,neutral,1,0,50,1,9,0,0,0,0.0,15,25,1,0,0,0.069,62.9,Electronics,995.29,premium,budget,S0309,0.0939,0.086,neutral,neutral,neutral,neutral,neutral
R00000105,P002416,U033675,2022-07-16,2022,7,1,negative,1,0,71,1,9,0,9,10,0.9,3,31,1,0,0,0.031,53.7,Electronics,110.6,high,budget,S0084,0.0461,-0.918,negative,negative,negative,negative,disgust
R00000106,P002808,U011244,2024-09-03,2024,9,5,positive,1,1,82,1,9,0,6,6,1.0,12,21,0,0,5,0.105,75.8,Beauty,32.42,low,mid,S0264,0.0776,1.0,positive,positive,positive,neutral,joy
R00000107,P004692,U001554,2023-08-14,2023,8,3,neutral,1,0,42,1,3,3,6,6,1.0,5,2,0,0,0,0.067,91.7,Clothing,78.27,mid,mid,S0495,0.0694,0.017,neutral,neutral,neutral,positive,neutral
R00000108,P004095,U016065,2022-06-03,2022,6,4,positive,1,0,102,1,3,0,11,13,0.846,4,23,0,0,0,0.029,81.2,Clothing,22.32,low,premium,S0070,0.0693,0.541,neutral,positive,positive,neutral,neutral
R00000109,P000298,U017853,2023-02-16,2023,2,4,positive,1,0,72,1,7,0,5,7,0.714,2,38,1,0,0,0.016,57.6,Toys & Games,113.88,high,mid,S0044,0.0269,0.433,positive,positive,neutral,positive,neutral
R00000110,P001798,U006143,2020-07-19,2020,7,4,positive,1,0,32,1,4,0,23,30,0.767,10,32,1,0,0,0.002,64.2,Clothing,41.44,low,mid,S0340,0.0423,0.517,positive,neutral,neutral,positive,satisfaction
R00000111,P000781,U027808,2022-03-30,2022,3,4,positive,1,0,44,1,8,0,3,4,0.75,16,6,0,0,0,0.033,93.1,Clothing,49.79,low,premium,S0486,0.0559,0.579,positive,neutral,neutral,neutral,neutral
R00000112,P004561,U021391,2024-07-09,2024,7,3,neutral,1,0,77,1,3,0,1,1,1.0,22,23,0,0,0,0.027,67.5,Automotive,85.32,mid,mid,S0051,0.0539,-0.081,neutral,neutral,negative,negative,neutral
R00000113,P001229,U010004,2022-08-30,2022,8,3,neutral,0,0,32,1,11,0,2,2,1.0,3,18,0,0,0,0.025,73.6,Food & Grocery,95.45,mid,mid,S0318,0.039,-0.097,neutral,negative,neutral,neutral,mild_disappointment
R00000114,P003839,U012652,2023-08-13,2023,8,5,positive,1,0,102,1,3,0,1,1,1.0,7,14,0,0,1,0.033,46.9,Toys & Games,75.02,mid,mid,S0375,0.0786,0.804,positive,neutral,positive,positive,satisfaction
R00000115,P003074,U015811,2024-02-18,2024,2,4,positive,1,0,18,1,4,0,12,13,0.923,37,4,0,0,0,0.01,100.0,Beauty,27.63,low,mid,S0321,0.0485,0.355,neutral,positive,positive,neutral,mild_joy
R00000116,P003841,U028587,2024-06-10,2024,6,4,positive,1,0,51,1,3,0,1,1,1.0,46,36,1,0,0,0.016,69.9,Beauty,28.96,low,budget,S0308,0.0787,0.625,positive,negative,neutral,negative,satisfaction
R00000117,P003353,U011925,2020-02-07,2020,2,1,negative,0,1,242,1,4,4,1,1,1.0,31,36,1,0,6,0.143,62.8,Electronics,174.49,high,mid,S0083,0.097,-0.909,negative,negative,negative,negative,disgust
