product_id,category,review_count,average_rating,positive_pct,negative_pct,fake_rate,verified_pct,helpful_ratio
P001758,Automotive,28,3.61,0.5714,0.0714,0.0357,0.7143,0.7858
P004050,Beauty,39,4.15,0.7949,0.0,0.0769,0.9231,0.8145
P003951,Home & Kitchen,28,2.5,0.1786,0.5714,0.1071,0.6786,0.7792
P001156,Electronics,17,2.76,0.1765,0.4118,0.0588,0.6471,0.9111
P002171,Home & Kitchen,26,4.31,0.8846,0.0385,0.0,0.7692,0.8097
P000703,Electronics,20,4.05,0.8,0.05,0.1,0.85,0.8147
P000026,Clothing,30,4.47,0.8667,0.0,0.1,0.7,0.8336
P001479,Books,33,3.64,0.5152,0.0606,0.0,0.7273,0.8111
P002807,Clothing,27,2.59,0.1852,0.4074,0.1111,0.7778,0.729
P003803,Clothing,20,3.7,0.55,0.05,0.1,0.7,0.7312
P004750,Electronics,24,3.83,0.7083,0.0833,0.0417,0.75,0.7299
P002126,Home & Kitchen,40,2.9,0.2,0.275,0.075,0.825,0.777
P000016,Clothing,19,2.89,0.3158,0.2632,0.0,0.6842,0.7965
P003255,Electronics,17,3.29,0.4118,0.2353,0.0588,0.7647,0.6811
P001042,Sports & Outdoors,20,2.8,0.15,0.4,0.1,0.7,0.7633
P002878,Home & Kitchen,17,2.76,0.2353,0.3529,0.0,0.8235,0.7974
P002271,Sports & Outdoors,36,3.94,0.75,0.0556,0.0556,0.8611,0.8127
P001389,Health,14,4.36,0.9286,0.0714,0.0,0.7143,0.7912
P001491,Electronics,35,3.43,0.4857,0.1143,0.0,0.7143,0.7863
P001714,Health,23,3.3,0.4783,0.2609,0.0,0.6957,0.6368
P000883,Food & Grocery,23,3.17,0.3478,0.2609,0.1304,0.7391,0.8382
P003531,Electronics,17,2.71,0.1765,0.4118,0.0,0.8824,0.7024
P001981,Health,11,3.45,0.5455,0.1818,0.0,1.0,0.7925
P003593,Toys & Games,41,4.27,0.878,0.0244,0.0488,0.6098,0.7825
P002913,Books,19,4.47,0.8947,0.0,0.1579,0.7895,0.7432
P001143,Toys & Games,15,3.2,0.4,0.2667,0.0,0.9333,0.8458
P001605,Clothing,21,2.33,0.0952,0.619,0.0952,0.9048,0.9095
P004623,Sports & Outdoors,12,4.25,0.8333,0.0,0.0833,0.8333,0.7079
P002122,Electronics,28,3.86,0.6786,0.1071,0.1429,0.8214,0.7347
P000572,Health,11,2.18,0.1818,0.8182,0.1818,0.6364,0.8152
P003219,Clothing,25,4.32,0.84,0.04,0.04,0.76,0.8136
P002337,Health,16,1.94,0.0625,0.6875,0.0625,0.8125,0.8512
P001040,Electronics,27,3.7,0.5556,0.0741,0.0741,0.7407,0.7405
P000060,Electronics,19,3.53,0.5263,0.1579,0.1579,0.7895,0.7398
P002926,Sports & Outdoors,18,4.5,0.8333,0.0,0.0,0.6111,0.8039
P002184,Electronics,18,4.28,0.8889,0.0556,0.0556,0.6111,0.8458
P002038,Electronics,18,3.72,0.6111,0.0,0.0556,0.8333,0.7016
P004618,Books,15,4.27,0.8667,0.0667,0.0667,0.8667,0.7915
P002934,Health,31,4.13,0.871,0.0323,0.0968,0.6129,0.7695
P004135,Books,16,3.31,0.5,0.125,0.0,0.875,0.7863
P002286,Electronics,20,1.6,0.0,0.85,0.0,0.8,0.7531
P003772,Automotive,27,4.15,0.7778,0.0741,0.0,0.7037,0.7916
P002802,Books,22,4.18,0.7727,0.0,0.0,0.7273,0.8086
P001759,Health,28,2.25,0.0714,0.6071,0.0,0.8214,0.8712
P004535,Books,33,3.36,0.4545,0.2121,0.0909,0.6364,0.7802
P001892,Beauty,6,3.5,0.6667,0.3333,0.0,0.6667,0.8965
P002303,Home & Kitchen,21,4.43,0.8571,0.0,0.0,0.7143,0.7596
P003242,Books,16,3.44,0.5,0.1875,0.0625,0.875,0.8882
P002969,Books,21,4.52,0.9524,0.0,0.0952,0.619,0.8357
P002573,Beauty,11,3.18,0.3636,0.1818,0.0909,0.6364,0.6277
P003457,Food & Grocery,27,4.11,0.8519,0.0741,0.1481,0.7778,0.7473
P003473,Books,15,4.6,0.9333,0.0,0.0667,0.8,0.8367
P002654,Beauty,34,3.59,0.6176,0.1765,0.0,0.7941,0.8264
P002535,Food & Grocery,16,3.94,0.6875,0.0625,0.125,0.8125,0.9133
P000834,Beauty,11,4.64,1.0,0.0,0.0,0.8182,0.8856
P003557,Books,20,2.15,0.1,0.7,0.1,0.65,0.8169
P004957,Health,17,3.06,0.2941,0.2941,0.1765,0.8235,0.878
P001449,Sports & Outdoors,20,4.1,0.8,0.05,0.1,0.75,0.7611
P001009,Beauty,19,3.74,0.6316,0.0526,0.0526,0.8421,0.8407
P004702,Home & Kitchen,41,3.63,0.5366,0.0976,0.1463,0.8537,0.8413
P002068,Automotive,27,4.07,0.7778,0.037,0.037,0.8148,0.8882
P003466,Toys & Games,19,4.26,0.8421,0.0526,0.1053,0.7368,0.7993
P002365,Sports & Outdoors,41,2.85,0.2683,0.4146,0.0488,0.7073,0.8161
P002816,Books,31,4.29,0.8387,0.0323,0.0645,0.6774,0.8039
P001670,Health,22,4.05,0.9091,0.0455,0.0455,0.6818,0.8512
P003859,Beauty,27,2.78,0.2963,0.3333,0.037,0.8148,0.7893
P002526,Electronics,13,4.54,0.9231,0.0,0.0,0.7692,0.718
P002416,Electronics,20,3.2,0.4,0.15,0.05,0.95,0.8205
P002808,Beauty,19,3.26,0.3158,0.1053,0.0526,0.6842,0.7454
P004692,Clothing,23,2.35,0.087,0.4783,0.0435,0.7826,0.8187
P004095,Clothing,11,4.27,0.9091,0.0,0.0,0.6364,0.912
P000298,Toys & Games,10,3.4,0.4,0.0,0.0,0.8,0.6
P001798,Clothing,25,4.32,0.96,0.04,0.04,0.76,0.8894
P000781,Clothing,11,4.0,0.8182,0.0909,0.0,0.9091,0.7761
P004561,Automotive,20,2.8,0.15,0.3,0.05,0.8,0.8544
P001229,Food & Grocery,33,2.85,0.2727,0.3333,0.0606,0.7879,0.8275
P003839,Toys & Games,22,4.73,1.0,0.0,0.1364,0.5,0.8986
P003074,Beauty,30,2.17,0.0667,0.6333,0.0333,0.8333,0.7931
P003841,Beauty,21,4.05,0.8571,0.0,0.0476,0.619,0.7625
P003353,Electronics,27,2.78,0.1852,0.4074,0.1481,0.5556,0.8392
P001433,Electronics,10,4.3,0.9,0.0,0.0,0.6,0.7383
P002498,Clothing,12,2.5,0.0833,0.3333,0.0,0.6667,0.82
P000872,Electronics,23,4.43,0.913,0.0,0.087,0.8261,0.8668
P001162,Sports & Outdoors,20,3.85,0.65,0.15,0.05,0.7,0.7061
P000628,Electronics,14,3.14,0.4286,0.2143,0.0,0.9286,0.7491
P004379,Health,29,3.79,0.6552,0.1034,0.1379,0.6207,0.797
P001424,Home & Kitchen,24,3.17,0.4167,0.2917,0.0417,0.8333,0.775
P000665,Home & Kitchen,20,3.15,0.55,0.25,0.05,0.75,0.7571
P001204,Beauty,30,4.67,0.9667,0.0,0.0333,0.6667,0.83
P001315,Electronics,18,3.28,0.4444,0.2222,0.1111,0.7778,0.7033
P000634,Home & Kitchen,16,3.75,0.5625,0.0625,0.125,0.8125,0.7963
P003492,Electronics,22,2.05,0.0455,0.7273,0.0,0.7727,0.7955
P003339,Clothing,26,2.46,0.1538,0.5,0.0,0.6923,0.8342
P002950,Health,19,2.68,0.1579,0.4211,0.1053,0.9474,0.8218
P004344,Clothing,9,2.56,0.1111,0.5556,0.1111,0.7778,0.9277
P000269,Electronics,21,4.05,0.7619,0.0476,0.0952,0.7143,0.9303
P003038,Electronics,20,4.5,1.0,0.0,0.2,0.7,0.7505
P002943,Toys & Games,18,2.5,0.0556,0.5,0.0,0.7778,0.6316
P003588,Books,41,4.17,0.8537,0.0732,0.0488,0.6829,0.8116
P001629,Clothing,32,3.16,0.3438,0.25,0.0938,0.875,0.8473
P002141,Health,14,2.71,0.1429,0.3571,0.0,0.6429,0.7014
P001697,Clothing,28,4.68,0.9286,0.0,0.0714,0.7857,0.8109
P001961,Sports & Outdoors,21,4.62,0.9524,0.0,0.0,0.6667,0.7801
P003202,Food & Grocery,23,3.22,0.5217,0.3043,0.087,0.7391,0.8942
P001288,Clothing,26,3.5,0.5769,0.1538,0.1538,0.7692,0.8739
P004338,Electronics,20,3.7,0.6,0.2,0.1,0.85,0.8139
P004969,Electronics,40,4.5,0.925,0.0,0.05,0.725,0.7924
P002142,Home & Kitchen,24,4.33,0.875,0.0,0.0,0.6667,0.8876
P004955,Clothing,19,4.0,0.7895,0.1053,0.0526,0.7368,0.8086
P002417,Clothing,14,3.36,0.3571,0.1429,0.2143,0.5,0.8026
P000097,Home & Kitchen,21,3.24,0.4286,0.2857,0.1429,0.5714,0.841
P004513,Health,16,2.25,0.0625,0.6875,0.0625,0.5625,0.8786
P001682,Toys & Games,22,3.73,0.5909,0.0455,0.1364,0.8636,0.6565
P000301,Toys & Games,22,3.91,0.6818,0.0455,0.0,0.8636,0.8532
P000931,Clothing,41,3.2,0.3415,0.2195,0.0732,0.7805,0.8446
P003621,Sports & Outdoors,41,3.66,0.561,0.0976,0.122,0.9024,0.737
P001169,Toys & Games,22,4.36,0.8636,0.0455,0.0455,0.8182,0.8021
P003668,Electronics,20,2.35,0.1,0.65,0.05,0.65,0.8225
P004160,Clothing,30,3.0,0.3,0.3,0.1,0.7667,0.8763
P004550,Clothing,24,4.42,0.8333,0.0,0.0833,0.6667,0.7668
P004531,Toys & Games,24,4.75,1.0,0.0,0.0,0.7917,0.835
P000914,Automotive,24,4.46,0.875,0.0,0.0,0.75,0.81
P002798,Home & Kitchen,35,2.31,0.1143,0.5714,0.0,0.8,0.8241
P004417,Books,30,3.17,0.3333,0.2,0.0,0.7667,0.7826
P001213,Books,22,4.0,0.8182,0.0909,0.0455,0.6818,0.8045
P004996,Clothing,19,2.68,0.3158,0.3684,0.0526,0.7368,0.8507
P003685,Clothing,36,3.72,0.5833,0.1111,0.0556,0.7222,0.8123
P004673,Electronics,15,3.2,0.4,0.2,0.0,0.7333,0.7921
P001551,Electronics,23,4.35,0.8261,0.0,0.087,0.8261,0.8963
P001022,Beauty,19,4.42,0.8947,0.0526,0.2105,0.7368,0.772
P004749,Health,30,3.1,0.3333,0.2667,0.1,0.7667,0.7231
P001406,Clothing,31,3.26,0.5161,0.2258,0.0323,0.7097,0.806
P004521,Electronics,27,4.59,0.963,0.0,0.0741,0.8148,0.8243
P000862,Beauty,26,2.04,0.0,0.7308,0.0,0.7692,0.8758
P001796,Clothing,26,1.81,0.0,0.8077,0.0,0.7308,0.8887
P003142,Electronics,18,4.44,0.9444,0.0,0.1111,0.8333,0.8006
P002314,Clothing,25,3.72,0.52,0.12,0.08,0.6,0.8416
P002998,Clothing,36,3.75,0.6111,0.0556,0.0278,0.8056,0.7279
P001632,Health,10,3.9,0.7,0.0,0.1,0.8,0.8553
P000985,Electronics,13,2.46,0.1538,0.5385,0.1538,0.5385,0.7432
P003706,Electronics,28,3.82,0.6429,0.0714,0.1071,0.6429,0.8257
P003677,Clothing,18,3.61,0.6111,0.1111,0.0,0.7222,0.7095
P004318,Toys & Games,34,2.06,0.1176,0.7647,0.1471,0.7941,0.8371
P000764,Electronics,18,3.61,0.5,0.1111,0.0,0.7222,0.8709
P000291,Toys & Games,30,3.63,0.6,0.0333,0.0,0.7333,0.7849
P003125,Clothing,31,4.48,0.9032,0.0,0.0323,0.7419,0.8138
P002450,Sports & Outdoors,19,4.63,0.8947,0.0,0.1053,0.6842,0.8284
P003127,Books,19,2.32,0.0526,0.5263,0.0526,0.7895,0.859
P001194,Automotive,23,3.35,0.3478,0.1739,0.0,0.7391,0.7446
P004129,Toys & Games,29,4.76,1.0,0.0,0.2069,0.7931,0.82
P002237,Electronics,29,4.41,0.8966,0.0,0.0,0.7931,0.6735
P003396,Food & Grocery,29,2.21,0.1379,0.6897,0.1034,0.5862,0.8172
P000984,Home & Kitchen,23,3.52,0.6087,0.087,0.087,0.7826,0.7843
P000247,Sports & Outdoors,12,3.5,0.5833,0.1667,0.0,1.0,0.851
P001793,Clothing,27,4.11,0.8519,0.037,0.0741,0.6667,0.7986
P002160,Electronics,55,4.04,0.8,0.0545,0.0727,0.6364,0.8146
P001196,Clothing,23,2.52,0.1304,0.5217,0.0435,0.6957,0.6357
P002345,Beauty,20,4.7,0.95,0.0,0.05,0.65,0.9387
P002536,Sports & Outdoors,25,3.16,0.36,0.16,0.0,0.84,0.8774
P001428,Electronics,8,4.38,1.0,0.0,0.0,0.625,0.793
P001662,Sports & Outdoors,16,4.0,0.75,0.0,0.125,0.5625,0.8522
P000221,Clothing,17,4.06,0.5882,0.0,0.1765,0.6471,0.6976
P000203,Books,30,3.87,0.6667,0.0,0.0667,0.7333,0.8174
P002174,Electronics,16,3.94,0.6875,0.0,0.0625,0.8125,0.8347
P000312,Home & Kitchen,16,3.19,0.4375,0.1875,0.0625,0.5,0.9343
P003735,Electronics,20,1.65,0.0,0.9,0.05,0.75,0.8212
P002936,Home & Kitchen,35,2.06,0.1143,0.7714,0.0857,0.8857,0.8427
P000128,Electronics,17,4.41,0.9412,0.0,0.0588,0.7647,0.799
P001649,Health,21,4.57,0.9048,0.0,0.0952,0.7143,0.9093
P000444,Clothing,12,4.67,1.0,0.0,0.0,0.8333,0.7648
P001550,Clothing,32,2.94,0.2188,0.3438,0.0938,0.7188,0.8486
P001919,Sports & Outdoors,12,3.25,0.25,0.1667,0.0833,0.5833,0.947
P003942,Clothing,24,1.75,0.0417,0.7917,0.0,0.7917,0.881
P001089,Books,16,3.5,0.5625,0.125,0.0625,0.75,0.7579
P001048,Toys & Games,15,4.47,0.9333,0.0,0.0,0.6,0.8269
P004037,Clothing,43,2.51,0.1395,0.5349,0.1163,0.6047,0.7813
P002671,Sports & Outdoors,20,3.25,0.5,0.25,0.0,0.9,0.922
P001281,Home & Kitchen,27,2.15,0.0741,0.6296,0.037,0.7037,0.8146
P000801,Beauty,23,3.22,0.4348,0.2174,0.0435,0.7391,0.8312
P003964,Clothing,36,3.44,0.5833,0.1944,0.0556,0.7778,0.8134
P001028,Home & Kitchen,26,2.27,0.1538,0.7308,0.1154,0.7692,0.8085
P002462,Beauty,19,3.11,0.2632,0.2632,0.0526,0.8421,0.9147
P000960,Books,17,3.29,0.4706,0.2353,0.1176,0.5882,0.6784
P001887,Electronics,18,2.61,0.1111,0.4444,0.0556,0.6667,0.8649
P000425,Sports & Outdoors,26,4.81,1.0,0.0,0.0385,0.5769,0.7569
P000045,Toys & Games,30,2.4,0.1,0.5667,0.0667,0.7333,0.7539
P002882,Electronics,12,3.42,0.5833,0.25,0.25,0.75,0.8378
P002848,Electronics,19,3.05,0.2632,0.2105,0.1579,0.8947,0.8027
P000959,Books,20,1.85,0.05,0.9,0.05,0.9,0.8366
P000995,Food & Grocery,22,4.32,0.8182,0.0,0.0,0.7727,0.808
P003872,Clothing,23,3.78,0.6522,0.1304,0.0435,0.7826,0.731
P002245,Home & Kitchen,18,4.0,0.7778,0.0,0.0,0.6667,0.6352
P003022,Beauty,22,1.73,0.0,0.8182,0.0455,0.7273,0.7984
P001397,Books,25,4.68,0.96,0.0,0.0,0.8,0.8096
P002104,Food & Grocery,17,4.53,0.8824,0.0,0.1176,0.6471,0.813
P001370,Home & Kitchen,6,2.0,0.1667,0.6667,0.1667,1.0,0.7148
P002776,Home & Kitchen,30,4.3,0.9667,0.0333,0.0,0.8667,0.7908
P000350,Electronics,25,4.64,0.92,0.0,0.0,0.72,0.7498
P000641,Beauty,22,2.77,0.3636,0.4091,0.0455,0.7273,0.8735
P002231,Clothing,25,4.32,0.92,0.0,0.0,0.64,0.8132
P001536,Books,22,3.59,0.5909,0.0909,0.0455,0.8636,0.8144
P004036,Home & Kitchen,18,1.61,0.0,0.8889,0.0556,0.7222,0.7651
P000992,Beauty,26,3.0,0.2308,0.1538,0.0385,0.8077,0.7584
P000679,Electronics,19,4.53,0.9474,0.0,0.1053,0.8421,0.9331
P000337,Electronics,24,4.71,0.9583,0.0,0.0417,0.9167,0.7516
P004086,Food & Grocery,29,4.07,0.7931,0.0345,0.0345,0.5862,0.8493
P004301,Home & Kitchen,30,4.53,0.9333,0.0,0.1,0.6667,0.743
P004506,Home & Kitchen,16,4.25,0.8125,0.0,0.0,0.6875,0.9316
P004434,Home & Kitchen,24,4.17,0.75,0.0,0.0833,0.75,0.6285
P004368,Sports & Outdoors,26,3.65,0.6154,0.0769,0.0385,0.7692,0.7564
P004876,Books,19,1.89,0.1053,0.7895,0.0526,0.6842,0.8536
P001999,Health,18,4.06,0.7778,0.0556,0.0,0.8333,0.8453
P003296,Automotive,29,2.52,0.1379,0.5517,0.069,0.5517,0.7645
P000206,Clothing,19,4.32,0.7895,0.0,0.0,0.7368,0.8493
P004330,Food & Grocery,22,2.86,0.3182,0.4091,0.1364,0.8182,0.6862
P000737,Clothing,28,3.54,0.5,0.1429,0.0714,0.6786,0.7632
P003418,Toys & Games,29,2.72,0.2414,0.4483,0.069,0.7586,0.767
P001633,Sports & Outdoors,15,4.53,1.0,0.0,0.0,0.8,0.7963
P002941,Automotive,12,4.33,0.9167,0.0,0.0,0.75,0.585
P003971,Food & Grocery,28,3.29,0.3214,0.1786,0.0714,0.7857,0.8679
P002554,Food & Grocery,8,4.25,0.875,0.0,0.0,0.875,0.8503
P004754,Books,23,3.83,0.6957,0.087,0.0,0.913,0.8819
P001542,Clothing,22,4.27,0.8182,0.0455,0.0455,0.8182,0.881
P002806,Clothing,35,4.6,0.9429,0.0,0.0286,0.8,0.8396
P004290,Sports & Outdoors,17,4.0,0.7059,0.0,0.0588,0.7059,0.7805
P002764,Clothing,23,2.96,0.3478,0.3043,0.0435,0.5217,0.7798
P002678,Toys & Games,18,2.72,0.1111,0.3333,0.0,0.6667,0.7824
P001940,Electronics,23,4.13,0.7826,0.0435,0.0435,0.6957,0.8396
P003894,Books,12,4.33,0.9167,0.0,0.0833,0.75,0.7362
P001799,Books,28,1.18,0.0,1.0,0.0,0.75,0.7356
P001237,Clothing,26,4.04,0.7692,0.0385,0.0385,0.8077,0.9023
P002149,Toys & Games,25,4.12,0.88,0.08,0.08,0.64,0.8396
P001425,Home & Kitchen,36,4.47,0.8611,0.0,0.1111,0.75,0.7721
P004949,Sports & Outdoors,27,4.26,0.8148,0.0,0.037,0.8519,0.859
P003058,Electronics,26,2.96,0.3846,0.2692,0.0,0.6923,0.8515
P004964,Clothing,26,4.0,0.7308,0.0385,0.1154,0.7692,0.783
P003480,Books,14,2.86,0.2143,0.3571,0.0,0.8571,0.6946
P004240,Sports & Outdoors,38,1.68,0.0263,0.9211,0.0263,0.6842,0.8223
P000564,Sports & Outdoors,19,3.47,0.5789,0.2105,0.0526,0.8421,0.7957
P003463,Electronics,22,3.59,0.5909,0.0909,0.0455,0.7727,0.7875
P000598,Sports & Outdoors,27,2.7,0.1111,0.3704,0.0741,0.6296,0.8006
P000743,Health,39,4.67,0.9744,0.0,0.0256,0.7436,0.7726
P000394,Beauty,31,4.68,0.9355,0.0,0.0323,0.7419,0.8374
P003119,Clothing,20,3.45,0.55,0.2,0.1,0.55,0.8084
P003259,Books,19,4.68,0.9474,0.0,0.1053,0.7895,0.8708
P001447,Food & Grocery,24,3.79,0.7083,0.125,0.0,0.7917,0.835
P004478,Clothing,25,4.52,0.88,0.0,0.16,0.88,0.7211
P004620,Books,26,1.96,0.0385,0.8462,0.0385,0.8846,0.85
P004028,Sports & Outdoors,20,4.35,0.9,0.05,0.15,0.75,0.7751
P003129,Beauty,23,3.13,0.3478,0.2174,0.1304,0.7826,0.7872
P002991,Toys & Games,14,3.43,0.4286,0.0714,0.1429,0.5714,0.6405
P001974,Home & Kitchen,25,4.0,0.76,0.04,0.08,0.68,0.8524
P002293,Sports & Outdoors,20,4.05,0.75,0.0,0.15,0.8,0.8276
P000716,Clothing,21,1.9,0.0,0.7143,0.0,0.6667,0.8573
P004781,Clothing,9,3.89,0.5556,0.1111,0.1111,0.8889,0.9181
P001908,Electronics,22,2.18,0.0909,0.7273,0.0455,0.5909,0.7393
P001018,Health,20,2.8,0.35,0.4,0.15,0.5,0.8693
P002047,Home & Kitchen,16,4.0,0.6875,0.0,0.0625,0.75,0.7192
P000848,Beauty,25,3.36,0.36,0.16,0.0,0.6,0.8068
P003995,Clothing,24,3.92,0.7083,0.0833,0.2083,0.5833,0.8171
P003611,Sports & Outdoors,24,3.42,0.5417,0.1667,0.125,0.75,0.874
P003736,Automotive,29,3.52,0.5862,0.1034,0.069,0.8276,0.7483
P003430,Toys & Games,31,3.29,0.4839,0.1935,0.0323,0.6774,0.8317
P004472,Clothing,26,4.19,0.8462,0.0,0.0769,0.7308,0.8364
P000921,Electronics,14,2.93,0.2143,0.5,0.2143,0.7857,0.788
P002631,Electronics,14,4.79,1.0,0.0,0.0714,0.5714,0.9067
P003085,Toys & Games,33,4.48,0.9697,0.0,0.0303,0.5758,0.7672
P004909,Beauty,32,3.09,0.375,0.2188,0.0312,0.8125,0.8279
P001817,Toys & Games,19,3.47,0.5789,0.1579,0.0,0.7895,0.8212
P001381,Home & Kitchen,28,2.25,0.1429,0.5714,0.0,0.75,0.8049
P000294,Electronics,19,3.11,0.2632,0.2105,0.0,0.7895,0.7965
P004852,Beauty,20,3.1,0.3,0.15,0.05,0.75,0.8242
P001265,Books,8,4.25,0.75,0.0,0.125,0.875,0.8991
P000561,Electronics,27,3.26,0.3333,0.1852,0.1111,0.6667,0.6748
P004484,Clothing,13,3.23,0.4615,0.3077,0.0769,0.6923,0.7745
P004662,Food & Grocery,20,2.8,0.1,0.35,0.05,0.7,0.7914
P002711,Automotive,21,2.86,0.1905,0.2381,0.0476,0.7619,0.84
P001355,Health,25,3.76,0.72,0.12,0.12,0.88,0.804
P002477,Electronics,24,3.25,0.375,0.25,0.0833,0.75,0.8138
P000674,Beauty,18,1.72,0.0556,0.8889,0.0556,0.5556,0.8782
P002405,Toys & Games,16,4.56,0.9375,0.0,0.125,0.625,0.9183
P004223,Clothing,19,3.63,0.6316,0.1053,0.0526,0.5263,0.9132
P000733,Electronics,12,4.5,1.0,0.0,0.0,0.9167,0.909
P003223,Beauty,27,3.44,0.5185,0.1852,0.1481,0.7037,0.8587
P001667,Health,24,4.17,0.8333,0.0417,0.0417,0.8333,0.7511
P000280,Health,29,1.86,0.069,0.8276,0.1034,0.7931,0.8544
P001256,Health,17,4.06,0.8824,0.1176,0.0588,0.7647,0.7478
P000349,Sports & Outdoors,20,3.95,0.75,0.1,0.0,0.75,0.8096
P000948,Health,11,4.36,0.9091,0.0,0.0,0.7273,0.8709
P001523,Health,31,3.87,0.7419,0.0323,0.0323,0.6774,0.8011
P000876,Health,21,3.43,0.5238,0.1905,0.0952,0.619,0.8983
P002029,Books,18,3.17,0.2778,0.1667,0.0556,0.6667,0.8322
P000014,Toys & Games,22,3.05,0.3636,0.2727,0.1364,0.5909,0.79
P000143,Food & Grocery,27,3.26,0.4074,0.1852,0.0,0.8148,0.6659
P003833,Home & Kitchen,25,1.92,0.04,0.76,0.04,0.88,0.8294
P003890,Clothing,26,3.27,0.4615,0.2308,0.0769,0.6923,0.7613
P001926,Electronics,30,4.4,0.9333,0.0,0.0,0.7333,0.7254
P004915,Clothing,28,4.21,0.8214,0.0357,0.0357,0.75,0.707
P001363,Sports & Outdoors,34,2.71,0.2059,0.4412,0.0588,0.7353,0.8402
P003741,Clothing,9,4.33,0.8889,0.0,0.0,0.8889,0.7034
P002229,Electronics,20,4.2,0.9,0.05,0.0,0.85,0.8155
P001712,Home & Kitchen,16,3.62,0.5,0.0625,0.0625,0.75,0.9149
P001436,Automotive,31,4.39,0.9032,0.0,0.0,0.6774,0.811
P001155,Books,14,4.5,0.9286,0.0,0.0,0.7143,0.8683
P003321,Electronics,31,3.48,0.5161,0.0645,0.0,0.7419,0.7298
P000146,Clothing,26,3.62,0.5385,0.0769,0.0769,0.7692,0.8593
P004523,Toys & Games,17,3.12,0.4118,0.2353,0.0588,0.7059,0.8404
P001271,Automotive,16,3.25,0.4375,0.125,0.0,0.6875,0.8996
P002412,Automotive,28,4.36,0.9286,0.0357,0.0714,0.7143,0.8871
P001963,Books,28,4.43,0.8571,0.0,0.0714,0.6786,0.8685
P004746,Electronics,26,3.31,0.4615,0.1923,0.0769,0.8846,0.6986
P000851,Electronics,27,3.15,0.3333,0.2222,0.037,0.7037,0.7297
P001832,Automotive,13,4.54,0.9231,0.0,0.0769,0.6154,0.5521
P003316,Electronics,23,3.96,0.7391,0.087,0.087,0.7391,0.7732
P001410,Beauty,37,3.24,0.4595,0.1892,0.0541,0.7838,0.8055
P002727,Toys & Games,24,3.21,0.4583,0.2083,0.0417,0.8333,0.8389
P000132,Food & Grocery,20,2.9,0.25,0.3,0.05,0.8,0.8309
P004511,Sports & Outdoors,30,4.33,0.8667,0.0333,0.0333,0.8,0.8146
