product_id,category,price_usd,true_quality,seller_id,is_prime,num_images,bullet_points,has_video,brand_tier,days_on_platform,total_reviews,avg_rating
P000130,Sports & Outdoors,39.85,3.54,S0325,0,6,5,0,budget,856,20,2.95
P000131,Electronics,221.76,3.83,S0374,0,3,3,0,mid,1115,1,3.57
P000132,Food & Grocery,35.15,3.01,S0420,0,1,3,0,mid,930,16,2.15
P000133,Sports & Outdoors,30.32,2.45,S0490,1,6,3,0,mid,1366,18,2.3
P000134,Home & Kitchen,23.58,4.36,S0419,0,5,5,0,mid,1143,34,4.16
P000135,Sports & Outdoors,177.51,4.05,S0224,0,0,4,1,mid,1293,59,3.31
P000136,Electronics,228.45,4.73,S0067,1,2,7,0,premium,151,240,4.26
P000137,Food & Grocery,17.11,4.55,S0280,0,3,5,0,mid,1657,34,4.13
P000138,Books,10.28,3.77,S0223,0,5,6,1,mid,790,9,4.26
P000139,Toys & Games,23.56,3.21,S0468,0,6,4,1,mid,779,26,3.66
P000140,Electronics,90.56,4.83,S0020,1,2,3,0,mid,1378,71,4.44
P000141,Books,30.58,4.08,S0429,1,6,4,0,mid,765,28,3.47
P000142,Books,11.29,4.4,S0317,0,6,6,0,mid,1417,12,4.03
P000143,Food & Grocery,42.4,3.02,S0036,0,3,6,0,premium,1489,62,3.06
P000144,Books,14.15,3.47,S0122,1,7,3,0,premium,991,8,2.62
P000145,Home & Kitchen,29.41,2.84,S0032,1,7,4,0,mid,1031,11,1.93
P000146,Clothing,34.84,3.79,S0466,0,2,5,0,mid,1573,54,3.07
P000147,Clothing,9.32,2.42,S0323,1,4,4,0,budget,1352,12,2.41
P000148,Books,16.74,4.02,S0310,0,6,4,0,premium,1365,21,3.86
P000149,Home & Kitchen,49.66,2.97,S0261,0,4,7,0,mid,1267,33,2.81
P000150,Electronics,303.45,3.89,S0201,1,5,7,0,premium,1441,31,3.83
P000151,Toys & Games,10.32,3.88,S0086,0,6,4,0,mid,1392,10,3.44
P000152,Health,76.3,3.06,S0366,1,4,3,0,mid,1433,49,2.67
P000153,Electronics,302.69,3.93,S0066,1,2,4,0,budget,748,11,3.65
P000154,Books,38.15,2.52,S0104,1,4,7,1,mid,1319,240,2.78
P000155,Electronics,179.24,1.97,S0489,1,6,7,0,mid,942,20,1.9
P000156,Beauty,51.45,4.29,S0046,0,2,6,1,mid,1545,68,3.83
P000157,Clothing,18.61,3.83,S0476,1,6,6,0,budget,903,79,3.57
P000158,Sports & Outdoors,99.7,4.42,S0044,0,1,4,1,budget,201,21,4.4
P000159,Beauty,17.63,4.72,S0244,1,3,5,0,premium,1472,10,4.14
P000160,Toys & Games,11.88,4.48,S0292,0,0,7,0,mid,921,79,3.9
P000161,Electronics,94.24,3.48,S0057,1,6,4,0,budget,103,6,2.99
P000162,Food & Grocery,22.07,4.22,S0445,1,5,5,0,mid,1491,7,4.04
P000163,Clothing,27.44,2.89,S0479,1,0,7,0,budget,119,68,2.37
P000164,Electronics,231.83,4.18,S0112,1,1,6,0,budget,223,26,3.95
P000165,Books,6.08,4.55,S0111,1,4,3,0,budget,1287,14,3.65
P000166,Home & Kitchen,15.35,3.29,S0381,0,3,6,0,budget,304,18,2.88
P000167,Toys & Games,72.91,3.8,S0186,0,0,3,0,premium,506,12,3.4
P000168,Toys & Games,55.04,4.59,S0019,1,7,4,0,mid,740,453,4.67
P000169,Clothing,23.98,4.3,S0376,1,3,7,0,mid,1754,112,4.16
P000170,Food & Grocery,21.96,4.03,S0177,1,5,3,0,mid,1028,12,3.52
P000171,Clothing,82.96,3.92,S0204,0,6,3,0,mid,1748,22,3.37
P000172,Books,23.15,3.98,S0327,0,1,7,0,mid,1311,67,3.38
P000173,Clothing,49.19,2.29,S0289,1,2,6,0,mid,540,10,1.72
P000174,Food & Grocery,42.44,2.14,S0414,1,5,4,1,mid,1022,16,2.41
P000175,Electronics,119.33,4.54,S0399,1,6,4,0,mid,623,23,3.86
P000176,Electronics,188.49,4.22,S0472,1,1,7,0,budget,413,11,4.31
P000177,Home & Kitchen,54.41,4.26,S0460,1,2,6,0,budget,974,123,3.86
P000178,Automotive,63.68,4.55,S0317,1,6,4,0,budget,1530,14,4.07
P000179,Health,30.08,4.69,S0279,0,2,3,0,mid,1427,28,4.25
P000180,Beauty,29.25,4.48,S0232,1,0,5,1,budget,499,38,4.39
P000181,Health,38.79,3.49,S0333,0,3,4,1,mid,487,222,2.88
P000182,Health,20.26,3.95,S0031,0,1,5,0,mid,1548,29,3.71
P000183,Books,29.12,2.89,S0202,1,4,3,0,mid,1148,430,2.59
P000184,Clothing,25.05,4.03,S0138,1,7,5,0,mid,906,21,3.75
P000185,Toys & Games,28.07,3.86,S0279,1,0,4,0,budget,1486,25,3.41
P000186,Sports & Outdoors,54.45,1.75,S0462,0,2,7,0,premium,101,101,1.47
P000187,Home & Kitchen,68.18,2.51,S0241,1,4,4,0,budget,1363,331,2.42
P000188,Electronics,51.88,2.0,S0292,0,1,4,0,mid,878,24,1.39
P000189,Beauty,47.79,2.84,S0202,0,4,4,0,budget,889,145,2.97
P000190,Clothing,29.98,4.03,S0172,1,1,6,0,mid,1187,91,3.66
P000191,Food & Grocery,45.74,4.37,S0341,1,5,6,0,mid,428,13,3.77
P000192,Clothing,33.78,3.85,S0125,1,2,4,0,budget,1587,32,3.58
P000193,Electronics,179.66,2.99,S0440,1,7,6,0,budget,179,31,2.48
P000194,Toys & Games,100.89,3.77,S0057,1,6,3,0,mid,1060,9,3.42
P000195,Electronics,156.64,2.51,S0112,0,7,3,0,premium,872,40,2.28
P000196,Electronics,389.03,3.66,S0376,1,1,4,0,mid,1784,36,3.67
P000197,Sports & Outdoors,66.54,3.73,S0042,1,7,6,1,budget,1181,51,3.44
P000198,Health,48.76,4.37,S0207,0,0,5,0,budget,703,36,3.6
P000199,Clothing,46.93,1.86,S0189,0,1,5,1,premium,775,14,1.85
P000200,Clothing,74.84,4.35,S0469,1,6,6,1,budget,464,623,4.13
P000201,Toys & Games,21.21,3.49,S0080,1,6,3,0,mid,120,42,2.66
P000202,Automotive,41.56,4.26,S0228,0,2,4,0,budget,814,157,3.48
P000203,Books,12.27,3.5,S0230,1,6,6,1,mid,67,56,3.75
P000204,Electronics,196.41,4.49,S0410,1,0,7,0,mid,1195,202,3.94
P000205,Electronics,162.04,1.97,S0271,0,2,3,0,premium,1626,13,1.68
P000206,Clothing,68.91,3.98,S0066,0,0,4,0,mid,198,29,3.57
P000207,Electronics,404.72,3.38,S0436,1,4,7,1,budget,1749,19,2.85
P000208,Beauty,15.59,4.18,S0076,1,7,7,1,mid,189,16,3.23
P000209,Electronics,119.1,4.9,S0348,0,4,4,0,budget,871,45,4.07
P000210,Books,7.6,3.79,S0137,1,4,3,0,premium,1135,24,3.22
P000211,Beauty,94.67,3.7,S0061,0,1,5,1,budget,1164,5,3.18
P000212,Sports & Outdoors,78.04,4.45,S0096,1,4,6,0,premium,709,23,3.77
P000213,Clothing,60.01,3.72,S0473,0,2,4,0,premium,108,20,2.9
P000214,Toys & Games,14.32,3.09,S0489,0,4,4,0,budget,1416,95,2.61
P000215,Beauty,27.98,3.22,S0301,1,1,6,0,premium,849,5,3.23
P000216,Beauty,38.01,4.72,S0405,0,4,5,1,premium,496,17,4.05
P000217,Electronics,158.97,3.99,S0452,1,3,4,1,premium,827,13,3.54
P000218,Electronics,352.76,3.08,S0175,0,6,7,0,mid,797,80,3.21
P000219,Food & Grocery,88.07,4.55,S0379,0,7,7,1,mid,1085,17,3.89
P000220,Home & Kitchen,31.16,4.82,S0260,0,7,6,1,budget,941,116,5.0
P000221,Clothing,24.37,3.53,S0087,1,2,7,0,premium,1091,31,3.44
P000222,Books,10.63,4.04,S0267,0,5,4,0,budget,1697,59,3.66
P000223,Sports & Outdoors,170.39,4.56,S0023,0,5,3,0,mid,1662,124,4.03
P000224,Food & Grocery,41.12,2.69,S0304,1,6,6,0,premium,42,7,2.82
P000225,Clothing,41.49,3.34,S0131,0,6,5,0,premium,1170,24,2.8
P000226,Food & Grocery,22.49,2.95,S0052,1,0,5,0,premium,414,54,2.53
P000227,Electronics,113.34,3.11,S0353,0,6,4,0,premium,150,41,3.28
P000228,Books,30.7,4.74,S0175,0,3,3,0,mid,192,6,4.15
P000229,Sports & Outdoors,51.75,1.0,S0224,1,7,3,1,mid,1159,76,1.0
P000230,Electronics,158.27,4.72,S0043,1,4,6,1,budget,1784,35,4.05
P000231,Electronics,266.57,4.51,S0040,0,3,4,1,premium,1411,38,3.48
P000232,Home & Kitchen,49.13,2.25,S0460,1,1,7,0,mid,264,25,2.33
P000233,Automotive,65.14,3.87,S0300,1,7,5,0,mid,402,0,3.47
P000234,Sports & Outdoors,65.41,3.31,S0202,1,1,3,1,mid,1487,63,3.3
P000235,Food & Grocery,35.45,4.14,S0333,1,0,6,0,mid,1104,67,3.68
P000236,Toys & Games,85.94,4.73,S0364,1,1,6,0,mid,950,19,4.13
P000237,Home & Kitchen,78.15,3.47,S0057,1,4,3,0,premium,354,5,2.92
P000238,Toys & Games,51.82,3.96,S0461,0,2,7,0,budget,1414,17,3.77
P000239,Electronics,164.09,3.88,S0328,0,4,6,0,mid,1505,109,3.25
P000240,Electronics,120.99,3.48,S0155,0,6,5,0,budget,564,20,3.25
P000241,Toys & Games,47.38,3.05,S0135,1,2,3,0,mid,1796,34,2.76
P000242,Toys & Games,35.46,4.16,S0044,0,0,5,0,mid,871,22,3.43
P000243,Clothing,19.16,4.53,S0129,1,2,7,0,budget,98,48,3.94
P000244,Books,14.78,2.62,S0169,0,4,4,1,mid,1760,6,2.36
P000245,Sports & Outdoors,61.85,4.11,S0107,0,5,7,0,premium,373,25,3.61
P000246,Health,27.98,2.83,S0336,1,0,3,0,premium,198,123,3.12
P000247,Sports & Outdoors,158.13,3.53,S0127,0,7,6,0,mid,832,11,3.25
P000248,Home & Kitchen,73.35,2.86,S0250,0,4,4,1,budget,1128,23,2.52
P000249,Home & Kitchen,125.37,4.95,S0280,1,3,3,0,mid,1143,117,4.35
P000250,Home & Kitchen,64.42,3.89,S0038,0,2,6,0,mid,1726,81,3.43
P000251,Sports & Outdoors,68.25,4.22,S0085,0,7,5,0,mid,848,56,3.62
P000252,Health,21.66,4.71,S0036,1,1,4,1,mid,254,52,3.99
P000253,Home & Kitchen,55.4,4.62,S0346,1,3,4,0,mid,833,51,4.34
P000254,Clothing,45.35,4.68,S0350,0,3,5,0,mid,1516,25,4.67
P000255,Clothing,19.81,4.22,S0065,0,4,3,0,premium,50,124,3.66
P000256,Beauty,20.26,3.81,S0369,1,1,5,0,mid,518,18,3.56
P000257,Toys & Games,26.36,4.14,S0406,1,7,3,1,budget,1227,10,3.53
P000258,Electronics,237.09,4.02,S0055,1,3,4,0,premium,385,6,3.65
P000259,Electronics,244.0,3.19,S0059,1,5,5,0,mid,891,15,2.48
P000260,Sports & Outdoors,45.86,2.06,S0398,1,5,6,1,mid,324,15,1.6
P000261,Electronics,245.1,4.59,S0155,1,1,4,1,budget,253,14,3.86
P000262,Toys & Games,28.69,3.53,S0173,0,7,6,0,budget,1332,8,3.13
P000263,Clothing,8.04,4.42,S0295,1,3,7,0,mid,1408,51,3.63
P000264,Electronics,138.32,4.19,S0035,0,4,5,0,budget,93,10,3.1
P000265,Food & Grocery,42.03,3.21,S0219,0,5,6,1,mid,978,63,2.48
P000266,Electronics,67.44,4.43,S0167,0,4,5,0,mid,774,78,3.93
P000267,Clothing,48.15,1.94,S0412,0,5,4,1,budget,681,726,1.51
P000268,Electronics,478.91,4.21,S0366,0,4,4,0,mid,1263,19,3.62
P000269,Electronics,117.21,4.09,S0144,1,5,4,0,budget,1158,27,3.76
P000270,Electronics,185.24,3.89,S0328,1,3,5,0,budget,277,13,3.25
P000271,Electronics,84.6,3.09,S0202,1,6,3,0,premium,1750,8,2.76
P000272,Electronics,491.12,3.65,S0241,1,4,6,0,mid,426,19,3.93
P000273,Electronics,175.98,2.36,S0368,1,7,3,1,premium,998,13,2.01
P000274,Sports & Outdoors,66.84,4.55,S0140,1,4,6,0,mid,299,7,4.03
P000275,Beauty,63.1,4.95,S0290,1,4,5,0,premium,1093,43,4.57
P000276,Home & Kitchen,81.8,3.6,S0209,1,3,6,0,budget,76,9,2.99
P000277,Clothing,26.61,3.69,S0326,0,3,3,0,budget,506,65,3.14
P000278,Books,12.21,4.31,S0191,0,6,4,1,budget,838,92,3.85
P000279,Health,51.14,4.28,S0468,1,5,4,1,budget,204,11,3.91
P000280,Health,26.13,1.79,S0196,1,3,6,0,premium,909,177,1.33
P000281,Electronics,51.94,3.51,S0055,1,6,4,0,mid,1058,53,3.33
P000282,Clothing,43.59,3.99,S0245,1,0,4,0,mid,1703,30,4.05
P000283,Clothing,18.51,2.8,S0120,0,0,3,1,mid,693,3,1.95
P000284,Clothing,118.68,3.62,S0228,1,5,4,0,budget,1318,4,3.38
P000285,Books,20.01,3.11,S0461,1,3,7,0,premium,498,218,2.77
P000286,Home & Kitchen,31.95,3.53,S0052,0,6,3,0,mid,1747,161,3.09
P000287,Electronics,121.65,2.69,S0022,1,5,7,1,budget,1737,225,2.52
P000288,Home & Kitchen,17.7,2.29,S0146,1,6,7,0,mid,1369,307,2.47
P000289,Books,9.31,3.89,S0218,1,2,7,0,budget,407,172,3.58
P000290,Electronics,340.41,3.87,S0065,1,2,6,1,mid,1762,44,3.77
P000291,Toys & Games,122.1,3.75,S0348,1,2,6,1,mid,736,64,3.36
P000292,Electronics,286.06,2.98,S0302,0,5,7,0,premium,469,14,2.79
P000293,Food & Grocery,20.82,3.65,S0351,1,5,6,0,premium,741,44,3.12
P000294,Electronics,142.76,3.45,S0212,1,7,5,1,budget,326,81,3.12
P000295,Health,21.41,4.18,S0466,0,1,5,1,budget,664,82,3.68
P000296,Health,130.77,2.97,S0336,1,0,7,0,premium,722,28,2.71
P000297,Automotive,66.97,3.7,S0461,1,7,4,0,mid,1794,2,2.83
P000298,Toys & Games,113.88,3.42,S0044,0,4,5,1,mid,900,5,2.74
P000299,Toys & Games,73.84,4.44,S0334,0,2,3,0,mid,1342,58,4.35
P000300,Sports & Outdoors,22.87,4.29,S0173,0,2,6,1,mid,1489,18,4.28
P000301,Toys & Games,21.46,4.11,S0097,1,7,3,0,mid,1701,73,3.18
P000302,Electronics,123.83,3.62,S0091,1,6,3,1,premium,988,7,3.09
P000303,Books,17.16,1.83,S0099,1,1,4,0,mid,1065,169,1.42
P000304,Books,17.36,3.7,S0047,1,2,6,0,budget,1715,10,3.41
P000305,Health,229.37,4.59,S0228,1,6,7,1,budget,1235,194,4.11
P000306,Home & Kitchen,28.82,2.93,S0387,1,5,5,0,premium,540,5,2.84
P000307,Home & Kitchen,63.1,4.28,S0232,0,6,6,0,mid,1082,68,3.45
P000308,Sports & Outdoors,94.09,3.07,S0066,0,1,4,0,mid,1054,10,2.87
P000309,Clothing,44.96,2.66,S0354,1,4,3,0,budget,1067,32,2.29
P000310,Electronics,197.64,4.27,S0088,1,0,3,0,premium,1183,120,3.62
P000311,Home & Kitchen,29.38,4.62,S0435,1,3,3,0,mid,793,97,4.29
P000312,Home & Kitchen,58.63,3.47,S0184,0,0,4,0,premium,305,12,3.05
P000313,Clothing,61.16,2.98,S0001,1,2,6,0,budget,675,15,2.65
P000314,Home & Kitchen,66.95,4.14,S0147,0,2,3,0,budget,1420,5,4.13
P000315,Home & Kitchen,77.44,4.06,S0417,1,1,4,0,budget,1799,3,3.68
P000316,Clothing,105.03,4.37,S0460,0,6,6,0,mid,1161,12,4.52
P000317,Home & Kitchen,96.5,3.96,S0211,0,2,3,0,premium,1406,11,2.87
P000318,Beauty,29.22,4.58,S0495,1,1,5,0,mid,369,5,4.12
P000319,Clothing,22.28,4.06,S0116,0,7,4,0,premium,1418,25,3.32
P000320,Food & Grocery,15.35,3.84,S0212,0,0,7,0,mid,761,31,3.18
P000321,Food & Grocery,19.28,4.49,S0230,1,1,5,0,budget,1273,32,3.84
P000322,Books,20.94,4.41,S0101,1,6,5,0,mid,1164,12,4.25
P000323,Clothing,33.77,4.45,S0192,1,3,7,0,premium,1376,16,3.88
P000324,Books,10.27,2.86,S0250,1,2,6,0,mid,1328,22,2.23
P000325,Health,18.63,3.89,S0350,0,2,5,0,budget,1173,88,3.7
P000326,Sports & Outdoors,24.14,2.76,S0248,1,4,6,0,premium,768,14,2.13
P000327,Toys & Games,27.79,4.34,S0052,0,2,5,1,mid,1470,4,4.41
P000328,Books,7.45,4.01,S0234,0,0,6,1,premium,1308,22,3.22
P000329,Sports & Outdoors,35.66,4.37,S0425,1,7,4,1,mid,274,19,3.85
P000330,Clothing,35.53,2.75,S0011,1,7,4,0,mid,491,4,3.05
P000331,Beauty,12.56,3.51,S0500,0,1,7,0,mid,506,20,3.06
P000332,Clothing,56.52,3.83,S0065,1,4,5,1,premium,569,11,3.57
P000333,Beauty,43.66,4.59,S0005,1,3,5,1,premium,1274,30,4.1
